gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
SNX20,18,4,0.580274643634357,up
TGFB1,18,4,0.9259288127981057,up
TRIB1,18,4,0.6979698994566773,up
ABCB1,19,4,-2.3877307440454323,down
ACVR2A,19,4,-0.9777133551533371,down
ANK3,19,4,-1.0136175294879057,down
CDKN2B,19,4,-1.4592313150788077,down
CYP2J2,19,4,-1.0228631423476038,down
EDN3,19,4,-0.9993871431549385,down
GIPC2,19,4,-0.8690014334185244,down
NDRG1,19,4,-0.7663773468172069,down
NR1I2,19,4,-0.830308485964013,down
PKIB,19,4,-1.2319834538257945,down
PPP2R3A,19,4,-1.1194330025885428,down
SLC22A5,19,4,-1.71004435316581,down
SLC26A3,19,4,-1.105735585931665,down
SULT1A1,19,4,-0.9270691702524655,down
CAMK2G,20,4,-0.4408767231744089,down
ERBB2,20,4,-0.6020594381446364,down
HOOK1,20,4,-0.6629588187789693,down
NR5A2,20,4,-0.7134636897004611,down
NRIP1,20,4,-0.5499746661202997,down
PGAP3,20,4,-0.664991587235407,down
PHYKPL,20,4,-0.5293732328999159,down
SEMA6D,20,4,-0.7203407028305732,down
SLC22A23,20,4,-0.7256949961968727,down
CPEB4,21,4,0.5293482453984155,up
FADS1,21,4,1.2159549098084508,up
HHEX,21,4,0.4849647267117869,up
IL21R,21,4,0.5233350515640494,up
TSPAN9,21,4,0.40908443523619153,up
AHR,22,4,0.8388626196934403,up
CREM,22,4,0.45539509984248916,up
FAT4,22,4,0.590276187602569,up
PHTF1,22,4,0.640053770846763,up
SEC16A,22,4,0.4404275090307325,up
SP110,22,4,0.7539043764624397,up
CD200,23,4,0.5493856361273085,up
CDH13,23,4,0.6963006325732399,up
CYLD,23,4,0.35181290764621487,up
HLX,23,4,0.4918492531397322,up
IL19,23,4,0.4297705174612134,up
KIF11,23,4,0.49693216237991383,up
MSH6,23,4,0.34898040428866484,up
PPIF,23,4,0.31453409027203466,up
SALL1,23,4,0.43924181978148863,up
SH2B3,23,4,0.4109963284534081,up
ADAM17,24,4,0.2395810084404153,up
CTSF,24,4,0.18750604132096482,up
GCKR,24,4,0.21737655274292278,up
GNA12,24,4,0.18541496511854216,up
KIF21B,24,4,0.266249706340425,up
SGCD,24,4,0.2240330870820193,up
TYK2,24,4,0.14772888046142807,up
C1orf141,26,4,-0.11025114111869572,down
LEMD2,26,4,-0.10033534806531197,down
SMAP1,26,4,-0.2447023837158664,down
ZMAT5,26,4,-0.11368157819229108,down
ASPG,27,4,-0.327298533944254,down
CCDC122,27,4,-0.2632159145951123,down
CLEC16A,27,4,-0.1300724282531176,down
IL37,27,4,-0.30994602623058976,down
PRM1,27,4,-0.14603028162615672,down
ACOXL,28,4,0.38502394566155784,up
CACNA1C,28,4,0.35703167837256133,up
DUSP22,28,4,0.32389399892642823,up
IL12RB2,28,4,0.3047192330251338,up
NCOR2,28,4,0.28768475861487186,up
NFKBIA,28,4,0.572751490293272,up
FYB1,29,4,0.6242881803798528,up
ITGA4,29,4,0.5978277153191174,up
SLC39A8,29,4,0.9792545256961587,up
IFIH1,30,4,0.27176066396429865,up
PDGFB,30,4,0.19180137249807494,up
XRCC2,30,4,0.3560916999140078,up
CRTC3,32,4,0.4224229292392767,up
GTF2IRD1,32,4,0.35487040582425716,up
IL6ST,32,4,0.5275003978079477,up
PDK1,32,4,0.5444792136599279,up
RELT,32,4,0.46945524936958716,up
SORCS2,32,4,0.4998894306311823,up
THADA,32,4,0.3328562525482299,up
TPD52L1,32,4,0.2783902474491402,up
BLTP3A,33,4,0.19543001489437048,up
DPCD,33,4,0.3579390080127727,up
ERRFI1,33,4,0.7767554235211165,up
FMNL2,33,4,0.5458660744156786,up
GART,33,4,0.29776013995349854,up
IL10,33,4,0.5171548155951919,up
KPNB1,33,4,0.39017742085705603,up
NCF4,33,4,0.7827485273191787,up
REL,33,4,0.46862969810530747,up
BATF,34,4,0.40153541446010443,up
IL17REL,34,4,0.39645951421442094,up
MFSD12,34,4,0.38695953829337126,up
PNOC,34,4,0.41625456792881765,up
IL2RA,37,4,0.9720063178576863,up
IRF4,37,4,0.9455270087497277,up
MMP9,37,4,1.5025329317009115,up
PSAT1,37,4,0.8022965188517702,up
TLR4,37,4,0.9753379348357066,up
TNFSF8,37,4,0.944516451814116,up
ABO,38,4,-0.5339716674443871,down
EZR,38,4,-0.34177606440883235,down
SCGN,38,4,-0.723289449324374,down
TRAF3IP2,38,4,-0.4930903311550674,down
UQCR10,38,4,-0.3322119008935678,down
ARPC2,39,4,-0.13884118809684765,down
DOP1A,39,4,-0.25085192130557,down
EVPL,39,4,-0.18755964327785257,down
HINT1,39,4,-0.16065402992493816,down
KLF3,39,4,-0.29912083044049265,down
ASCC2,40,4,-0.3169562295560313,down
KCTD20,40,4,0.26465076290930556,up
SKAP2,40,4,-0.3637014331578037,down
SMNDC1,40,4,0.22454857738603273,up
TENM3,40,4,0.23620332621260332,up
ADCY7,41,4,0.342872435750774,up
CARD8,41,4,0.5680905572681718,up
ETV7,41,4,0.4709723858871109,up
RASGRP1,41,4,0.7879828179696031,up
VCAM1,41,4,1.2621338684329237,up
ACTN1,42,4,0.8691384637436617,up
CALHM6,42,4,0.844417577038748,up
IL18RAP,42,4,0.9532461743984193,up
PMAIP1,42,4,0.7981340494549265,up
SLC43A3,42,4,0.9422450138678174,up
FEN1,43,4,0.4575449877385509,up
FKBP5,43,4,0.38902540012236536,up
IL1RL1,43,4,0.6483382484321053,up
ITGAV,43,4,0.5607193017820661,up
MCL1,43,4,0.3899686326918565,up
PARK7,43,4,0.2573834287703569,up
RSPO3,43,4,0.649808680096827,up
STAT3,43,4,0.5006046591588001,up
STAT4,43,4,0.4730199207109722,up
THSD7A,43,4,0.5628680867248269,up
TNFAIP3,43,4,0.4815755035868546,up
