gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
TENT5C,3,2,0.8055028962500442,1.1346434788288562,True
TFRC,3,2,0.6130258417033575,0.7606917614589115,True
TGFBR2,3,3,-1.7357850882717747,-1.7357850882717747,True
TGIF1,3,3,0.8642682791989594,0.8642682791989594,True
THEM6,3,2,0.40136318132793525,0.6222440760743206,True
THSD4,3,2,1.28426948799878,1.8411547042140421,True
TIMP3,3,2,-1.0724872943528585,-1.0152118104529313,True
TNC,3,2,0.8981399733258133,1.2309182029126613,True
TNFSF10,3,2,0.1910629426134521,0.16913090208663473,False
TNNT3,3,3,-0.6654071133449652,-0.6654071133449652,True
TNS1,3,3,-2.2597528998882708,-2.2597528998882708,True
TOP1,3,3,0.6217180137042314,0.6217180137042314,True
TOP2A,3,3,2.8105345575955147,2.8105345575955147,True
TOX3,3,3,2.313357466175821,2.313357466175821,True
TPM4,3,2,0.8359037506676822,1.1355722954359795,True
TRAK2,3,3,-0.49211309618785865,-0.49211309618785865,True
TRAP1,3,2,0.3090791015550109,0.4175079810391136,True
TRIM46,2,2,0.15535085038050145,0.15535085038050145,False
TRPS1,3,3,1.6377238843526525,1.6377238843526525,True
TTC28,3,3,-1.0039093373902686,-1.0039093373902686,True
TTK,2,2,1.3309682275409038,1.3309682275409038,True
TXNIP,3,3,-1.303984944922582,-1.303984944922582,True
TYRO3,3,3,-1.6730153825577165,-1.6730153825577165,True
UTRN,3,3,-1.1043078106321662,-1.1043078106321662,True
UVSSA,2,2,0.9569830890170699,0.9569830890170699,True
VEGFC,3,2,-0.9542935045374034,-1.3591525042003814,True
VGLL3,3,3,-2.130522888609223,-2.130522888609223,True
WWOX,3,2,-0.5625393796929483,-0.6319253939399672,True
XBP1,3,3,1.369958541798656,1.369958541798656,True
ZBTB38,3,2,-0.43998414427111027,-0.582196318364443,True
ZFPM2,3,3,-1.671856208460879,-1.671856208460879,True
ZMIZ1,3,2,0.15590786581026825,0.1949565678670533,False
ZNF217,3,3,0.8186701273608245,0.8186701273608245,True
