gene,cluster_id
TCERG1,118
TCIRG1,7
TCTN1,5
TDP1,37
TDP2,116
TDRKH,37
TEAD2,178
TENT5A,44
TERF2IP,98
TFB1M,116
TFDP1,163
TFPI,7
TGFB3,162
TGFBR3,178
TGIF1,6
THAP11,60
THEMIS,144
THUMPD1,39
TIGD3,25
TIMCC,105
TIMP1,55
TIPARP,97
TLCD3A,67
TLE1,174
TLN1,2
TLR1,139
TM2D3,65
TMBIM1,138
TMBIM4,15
TMCO1,67
TMED5,109
TMEM126B,36
TMEM14C,66
TMEM17,65
TMEM237,19
TMEM25,168
TMEM268,9
TMEM43,5
TMEM62,45
TMIGD3,82
TMTC4,104
TMX1,138
TMX3,147
TMX4,-1
TNFRSF10B,43
TNFRSF1A,11
TNFRSF1B,2
TNFSF12,148
TNFSF13B,138
TNNT1,121
TNNT2,35
TOB1,174
TOB2,79
TOGARAM1,103
TOMM20,9
TOMM70,114
TOP1MT,176
TOP2B,38
TOPBP1,38
TOX,89
TP53I13,5
TPI1,99
TPK1,16
TPMT,102
TRAF3IP2,124
TRAM2,29
TRAPPC11,23
TRAPPC3,103
TRAPPC8,112
TRIB1,10
TRIM2,131
TRIM23,30
TRIM37,171
TRIM44,170
TRIM47,79
TRIM56,10
TRIM68,137
TRMT11,74
TRMT1L,40
TRO,23
TRPC1,30
TRPC5,153
TRRAP,163
TSC1,64
TSEN34,33
TSG101,113
TSHR,11
TSNAX,30
TSPAN14,111
TSPAN31,58
TSPAN7,113
TSPO,164
TSPYL5,101
TSSK4,119
TTC1,116
TTC13,152
TTC19,32
TTC38,3
TTC9C,170
TTF1,26
TTLL12,24
TUBB,65
TUBB2B,93
TUBB4B,36
TUBG1,102
TXNDC12,15
TXNIP,138
TYMP,61
U2AF2,51
UBA52,33
UBA6,1
UBE2E1,173
UBE2E3,129
UBE2L6,91
UBE2N,86
UBE4A,153
UBLCP1,89
UBP1,1
UBQLN2,67
UBR3,146
UBTD1,176
UBXN10,25
UCHL5,156
UGDH,54
UNC79,12
UNC80,25
UNG,124
UQCRC1,168
UQCRC2,30
UQCRFS1,68
URGCP,153
UROD,100
USP11,30
USP13,137
USP4,77
USP46,129
USP49,178
USP5,30
UXS1,37
UXT,163
VAMP1,145
VAMP8,29
VAT1,176
VBP1,1
VCAN,110
VCPKMT,75
VDAC1,104
VDAC3,156
VGLL4,97
VHL,175
VIM,62
VPS11,167
VPS13A,102
VPS16,57
VPS33A,26
VPS33B,169
VPS35,84
VPS36,19
VPS37B,49
VPS39,23
VPS45,38
VPS51,37
VPS8,38
VRK1,46
VSNL1,144
WASF1,8
WASF2,81
WDR1,82
WDR36,23
WDR37,89
WDR41,173
WDR54,32
WDR86,81
WIPF1,179
WSCD1,97
WSCD2,122
WWC1,20
XK,172
XPNPEP1,118
XRCC6,23
XXYLT1,14
YAP1,69
YBX1,125
YBX3,55
YEATS4,144
YES1,148
YIPF5,99
YKT6,80
YPEL4,100
YPEL5,128
YWHAG,14
ZBBX,134
ZBED5,115
ZBTB20,151
ZBTB24,141
ZBTB40,-1
ZC2HC1A,147
ZC3H15,36
ZC3HAV1,69
ZC3HC1,40
ZDHHC17,30
ZDHHC18,163
ZFAND3,165
ZFHX3,20
ZFP14,14
ZFP36,29
ZFP36L1,124
ZFR,80
ZFYVE21,22
ZGPAT,130
ZHX2,41
ZMAT3,115
ZMIZ1,50
ZNF10,24
