gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
CSE1L,3,2,0.25056657284530076,0.4328146625371816,False
CSF1R,3,2,0.7609275036389128,0.9429404844686249,True
CSRP2,3,3,0.6677133259737861,0.6677133259737861,True
CTHRC1,2,2,0.4798662330756474,0.4798662330756474,True
CTPS1,3,2,0.1462826082071403,0.27291322549473884,False
CTSC,2,2,1.0498028451370747,1.0498028451370747,True
CTSH,3,3,0.6927910475824574,0.6927910475824574,True
CUBN,2,2,0.432502750528303,0.432502750528303,True
CUL1,3,2,0.04279594372932394,-0.14160718754265256,True
CUL2,3,3,0.23430157714893132,0.23430157714893132,False
CUL3,3,2,-0.06699927344390814,-0.2762910341249376,True
CUTA,3,2,0.33350710108385595,0.5465169510103993,False
CWC15,3,2,0.21566829398937415,-0.14346409734360765,True
CXCL16,3,2,0.9764846260139954,0.8225178493621171,True
CYBA,3,3,0.8712628167693591,0.8712628167693591,True
CYC1,3,2,0.056569712233887515,-0.2711704963940589,True
CYGB,3,2,-0.04191786694088003,-0.3208628686588342,True
CYP2E1,3,2,-0.1568586400259638,-0.3889336922707862,True
CYP4F11,3,2,0.5838792824688993,0.4657105881249499,True
CYP4X1,3,3,0.021246056876594643,0.021246056876594643,False
DAB2,3,2,0.5787985256874594,0.8077660047459352,True
DAPK1,3,2,0.23597670913482224,0.43483233762180706,False
DBF4,2,2,-0.0010073132453300992,-0.0010073132453300992,False
DBI,3,3,0.4918018298830756,0.4918018298830756,True
DBT,3,3,0.3832705093173517,0.3832705093173517,False
DCAF12,3,2,0.43944874787596105,0.6059559528750169,True
DCBLD2,3,2,0.3523285297136818,0.4901770646387913,False
DCLK1,3,2,-0.06276682464897891,-0.45581314850384214,True
DCTN1,3,2,-0.16236984611158256,-0.19484063381968042,True
DCTN2,3,3,0.24677622080236805,0.24677622080236805,False
DCUN1D2,3,2,-0.042361684509987896,-0.2757551918450236,True
DDAH2,3,2,0.49689415280044996,0.4863706950982756,True
DDB1,3,3,0.22494033588723963,0.22494033588723963,False
