Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-28_asd_v033/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 18010.8s (300.2m)

Core gene counts across runs:
  Min: 410
  Max: 434
  Mean: 420.5
  Variance: ±12.0 genes (2.9%)

Unique genes seen: 457
  Iron-clad (>=90% of runs): 394
  Borderline (50-89%):       35
  Stochastic (<50%):         28

Iron-clad genes (394):
  SLC25A37: 48/50 (96%)
  SLC2A5: 50/50 (100%)
  SLC33A2: 50/50 (100%)
  SLC35B3: 50/50 (100%)
  SLC37A4: 50/50 (100%)
  SLC45A1: 50/50 (100%)
  SLC6A15: 46/50 (92%)
  SNAP25: 50/50 (100%)
  SNAP47: 50/50 (100%)
  SNU13: 50/50 (100%)
  SNX14: 50/50 (100%)
  SNX17: 49/50 (98%)
  SOX2: 50/50 (100%)
  SOX4: 50/50 (100%)
  SP110: 50/50 (100%)
  SPATA7: 50/50 (100%)
  SPIN2B: 50/50 (100%)
  SPINT2: 50/50 (100%)
  SPOCK2: 50/50 (100%)
  SRGN: 50/50 (100%)
  STAT4: 47/50 (94%)
  SUPV3L1: 48/50 (96%)
  SUV39H1: 50/50 (100%)
  SYNGR1: 50/50 (100%)
  TARBP1: 50/50 (100%)
  TBC1D4: 50/50 (100%)
  THEMIS: 49/50 (98%)
  TIMP1: 50/50 (100%)
  TIPARP: 45/50 (90%)
  TMEM268: 50/50 (100%)
  TMIGD3: 48/50 (96%)
  TMX3: 48/50 (96%)
  TMX4: 45/50 (90%)
  TOB1: 49/50 (98%)
  TOX: 50/50 (100%)
  TRAF3IP2: 46/50 (92%)
  TRAM2: 50/50 (100%)
  TRIM44: 50/50 (100%)
  TRMT11: 50/50 (100%)
  TRPC1: 50/50 (100%)
  TSNAX: 50/50 (100%)
  TTC1: 45/50 (90%)
  TTC13: 50/50 (100%)
  TTC19: 50/50 (100%)
  TUBB2B: 50/50 (100%)
  TXNIP: 47/50 (94%)
  UBE2L6: 49/50 (98%)
  UBE4A: 50/50 (100%)
  UBLCP1: 48/50 (96%)
  UBTD1: 48/50 (96%)
  UCHL5: 50/50 (100%)
  UGDH: 50/50 (100%)
  UQCRC1: 45/50 (90%)
  UQCRC2: 50/50 (100%)
  URGCP: 48/50 (96%)
  VAMP1: 46/50 (92%)
  VDAC3: 46/50 (92%)
  VIM: 50/50 (100%)
  VPS16: 48/50 (96%)
  VPS33B: 50/50 (100%)
  VPS36: 50/50 (100%)
  VPS39: 50/50 (100%)
  VRK1: 49/50 (98%)
  VSNL1: 49/50 (98%)
  WDR54: 50/50 (100%)
  WSCD1: 50/50 (100%)
  WWC1: 50/50 (100%)
  YAP1: 50/50 (100%)
  YBX1: 46/50 (92%)
  YBX3: 50/50 (100%)
  YPEL4: 49/50 (98%)
  ZBTB24: 50/50 (100%)
  ZFAND3: 50/50 (100%)
  ZFHX3: 50/50 (100%)
  ZFYVE21: 50/50 (100%)
  ZNF25: 46/50 (92%)
  ZNF385B: 50/50 (100%)

Borderline genes (35):
  ARHGAP45: 40/50 (80%)
  ATP2B2: 37/50 (74%)
  ATP6V1E1: 39/50 (78%)
  CAMTA1: 37/50 (74%)
  DEPP1: 26/50 (52%)
  DPP10: 41/50 (82%)
  DPP8: 37/50 (74%)
  ENTPD6: 32/50 (64%)
  EPB41L3: 37/50 (74%)
  FAM131B: 41/50 (82%)
  FIBP: 39/50 (78%)
  GADD45B: 26/50 (52%)
  GRPEL2: 41/50 (82%)
  IDH3G: 40/50 (80%)
  KAT7: 30/50 (60%)
  KIAA0232: 40/50 (80%)
  LRRC20: 37/50 (74%)
  MAPKAPK2: 40/50 (80%)
  NAP1L5: 25/50 (50%)
  NEK6: 32/50 (64%)
  PEA15: 44/50 (88%)
  PELI3: 41/50 (82%)
  PHYH: 39/50 (78%)
  PLCE1: 43/50 (86%)
  PTPN1: 43/50 (86%)
  PVALB: 36/50 (72%)
  RAMP1: 26/50 (52%)
  RNF41: 32/50 (64%)
  RPS19: 27/50 (54%)
  SHD: 41/50 (82%)
  SPTAN1: 32/50 (64%)
  SSX2IP: 44/50 (88%)
  SYT13: 42/50 (84%)
  VCPKMT: 33/50 (66%)
  ZDHHC17: 44/50 (88%)

Stochastic genes (28):
  ACTL6A: 1/50 (2%)
  ATG16L1: 3/50 (6%)
  BBS7: 3/50 (6%)
  C3orf70: 19/50 (38%)
  COXFA4: 7/50 (14%)
  FBXL15: 3/50 (6%)
  GNAI3: 10/50 (20%)
  GPAT3: 24/50 (48%)
  ITGAV: 6/50 (12%)
  KCNIP4: 14/50 (28%)
  KLF9: 6/50 (12%)
  MORC4: 6/50 (12%)
  NAV2: 5/50 (10%)
  NBPF9: 9/50 (18%)
  PPL: 6/50 (12%)
  PPP1R3F: 4/50 (8%)
  PREPL: 6/50 (12%)
  RFXANK: 5/50 (10%)
  RGS7: 3/50 (6%)
  RPH3A: 16/50 (32%)
  SERTAD4: 18/50 (36%)
  SRGAP3: 18/50 (36%)
  SVOP: 6/50 (12%)
  TENT5A: 9/50 (18%)
  TXNDC12: 7/50 (14%)
  ZFP36L1: 22/50 (44%)
  ZNF425: 18/50 (36%)
  ZNF839: 7/50 (14%)
