Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-04-29_ipf_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 33272.5s (554.5m)

Core gene counts across runs:
  Min: 2416
  Max: 2471
  Mean: 2442.6
  Variance: ±27.5 genes (1.1%)

Unique genes seen: 2545
  Iron-clad (>=90% of runs): 2309
  Borderline (50-89%):       180
  Stochastic (<50%):         56

Iron-clad genes (2309):
  ECHDC1: 50/50 (100%)
  ECHDC3: 50/50 (100%)
  ECM1: 50/50 (100%)
  ECM2: 50/50 (100%)
  ECRG4: 50/50 (100%)
  EDA2R: 50/50 (100%)
  EDEM1: 50/50 (100%)
  EDNRB: 50/50 (100%)
  EEIG1: 50/50 (100%)
  EFCAB12: 50/50 (100%)
  EFHC1: 50/50 (100%)
  EFHC2: 50/50 (100%)
  EFNA1: 50/50 (100%)
  EFNA4: 45/50 (90%)
  EFNA5: 50/50 (100%)
  EFNB1: 50/50 (100%)
  EFNB2: 50/50 (100%)
  EFNB3: 50/50 (100%)
  EGFL6: 50/50 (100%)
  EGFLAM: 50/50 (100%)
  EGR2: 50/50 (100%)
  EGR3: 50/50 (100%)
  EHD4: 48/50 (96%)
  EIF2D: 50/50 (100%)
  EIF5A2: 50/50 (100%)
  ELAPOR2: 45/50 (90%)
  ELK3: 50/50 (100%)
  ELMO1: 50/50 (100%)
  ELOA: 50/50 (100%)
  EMB: 50/50 (100%)
  EMC3: 50/50 (100%)
  EMP2: 50/50 (100%)
  ENAH: 49/50 (98%)
  ENC1: 50/50 (100%)
  ENG: 50/50 (100%)
  ENOSF1: 46/50 (92%)
  ENPP3: 50/50 (100%)
  ENPP5: 50/50 (100%)
  ENTPD1: 50/50 (100%)
  ENTPD3: 50/50 (100%)
  ENTPD7: 50/50 (100%)
  ENTREP1: 50/50 (100%)
  EOMES: 50/50 (100%)
  EPAS1: 49/50 (98%)
  EPB41L5: 50/50 (100%)
  EPDR1: 49/50 (98%)
  EPHA3: 50/50 (100%)
  EPHX1: 50/50 (100%)
  EPHX3: 48/50 (96%)
  ERG28: 49/50 (98%)
  ERN1: 50/50 (100%)
  ERN2: 49/50 (98%)
  ERRFI1: 50/50 (100%)
  ESR2: 50/50 (100%)
  ESRP2: 49/50 (98%)
  ESRRG: 50/50 (100%)
  ESYT3: 50/50 (100%)
  ETS2: 50/50 (100%)
  ETV6: 50/50 (100%)
  EVL: 50/50 (100%)
  EXOC3L1: 49/50 (98%)
  EXTL2: 50/50 (100%)
  EYA2: 50/50 (100%)
  EYA4: 50/50 (100%)
  F2RL3: 50/50 (100%)
  F3: 50/50 (100%)
  FAAH2: 50/50 (100%)
  FADS1: 50/50 (100%)
  FADS3: 50/50 (100%)
  FAH: 50/50 (100%)
  FAM107A: 50/50 (100%)
  FAM13C: 50/50 (100%)
  FAM162A: 50/50 (100%)
  FAM162B: 50/50 (100%)
  FAM167A: 50/50 (100%)
  FAM169A: 50/50 (100%)
  FAM171B: 50/50 (100%)
  FAM177A1: 50/50 (100%)
  FAM20C: 50/50 (100%)
  FAM229B: 50/50 (100%)
  FAM3D: 50/50 (100%)
  FAM43A: 50/50 (100%)
  FAM50A: 50/50 (100%)
  FAM81A: 50/50 (100%)
  FAM89A: 50/50 (100%)
  FANCE: 50/50 (100%)
  FANCF: 47/50 (94%)
  FANCL: 50/50 (100%)
  FAP: 50/50 (100%)
  FASLG: 50/50 (100%)
  FASN: 49/50 (98%)
  FAT1: 50/50 (100%)
  FAT2: 50/50 (100%)
  FBLN2: 50/50 (100%)
  FBLN5: 50/50 (100%)
  FBXL13: 50/50 (100%)
  FBXL2: 50/50 (100%)
  FBXO16: 50/50 (100%)
  FBXO31: 49/50 (98%)
  FCER1A: 50/50 (100%)
  FCGRT: 45/50 (90%)
  FCHO2: 50/50 (100%)
  FCHSD2: 50/50 (100%)
  FCMR: 50/50 (100%)
  FCN3: 50/50 (100%)
  FCRL2: 50/50 (100%)
  FCRL5: 50/50 (100%)
  FCRLA: 50/50 (100%)
  FDCSP: 50/50 (100%)
  FDFT1: 50/50 (100%)
  FDPS: 50/50 (100%)
  FDXR: 48/50 (96%)
  FERMT1: 50/50 (100%)
  FERMT2: 50/50 (100%)
  FES: 50/50 (100%)
  FGD4: 50/50 (100%)
  FGD6: 50/50 (100%)
  FGF1: 50/50 (100%)
  FGF14: 50/50 (100%)
  FGF7: 50/50 (100%)
  FGFR3: 50/50 (100%)
  FGL1: 49/50 (98%)
  FGR: 50/50 (100%)
  FHDC1: 45/50 (90%)
  FHL2: 50/50 (100%)
  FHOD1: 50/50 (100%)
  FHOD3: 50/50 (100%)
  FIBIN: 50/50 (100%)
  FKBP5: 50/50 (100%)
  FLNC: 50/50 (100%)
  FLT3: 50/50 (100%)
  FLVCR2: 50/50 (100%)
  FMN1: 49/50 (98%)
  FMNL2: 48/50 (96%)
  FMO1: 50/50 (100%)
  FMO3: 50/50 (100%)
  FN1: 49/50 (98%)
  FNBP1L: 46/50 (92%)
  FNDC1: 50/50 (100%)
  FNDC4: 50/50 (100%)
  FOLR1: 50/50 (100%)
  FOSL2: 50/50 (100%)
  FOXF1: 49/50 (98%)
  FREM1: 50/50 (100%)
  FREM3: 49/50 (98%)
