gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
BIRC3,3,2,0.6460018931797167,True
BLMH,3,2,0.15780588934666095,False
BLVRA,3,3,0.05962799667700599,False
BMERB1,3,2,-0.1251589098378867,True
BMP7,3,2,0.3518051773442539,True
BMPR1A,2,2,0.3411095572897225,True
BNIP2,3,2,0.39563340129336116,True
BNIP3,3,2,0.4445892648159247,False
BOLA3,3,2,0.057413489251370464,True
BRI3BP,3,2,-0.07389776858608421,False
BRWD1,3,2,0.34756675805634946,False
BST2,3,3,0.8618405843978599,True
BTG3,3,2,0.6628301135918057,True
BUD31,3,2,0.44814698749269316,True
C10orf88,3,2,-0.06606384191367749,True
C14orf119,3,3,0.13863836361026097,False
C1QA,2,2,0.9185509473231607,True
C1QB,3,3,1.2419780277641732,True
C1QC,3,2,0.9826890784487089,True
C1QL1,3,2,0.5867569962423743,True
C1QTNF1,3,2,0.7353299452417655,True
C1orf115,3,2,0.2650858601828728,False
C1orf74,3,2,-0.11553766004702015,True
C2CD5,3,2,0.04753732957631248,True
C3orf62,3,2,0.29482269622858376,True
C3orf70,3,2,0.4933040262472191,True
C6orf120,3,2,-0.09737718308373229,True
C6orf136,3,2,0.2335606704577291,False
C9orf78,3,2,0.32768025313213806,False
CACHD1,3,3,0.7161416247155135,True
CACNG2,3,2,-0.021730617368090382,True
CADM1,3,2,0.5466440245457193,True
CADPS,3,2,-0.1900307582989651,True
CADPS2,3,2,-0.32034674119615286,True
CALM2,3,2,0.29290440212115126,False
CALML4,3,2,0.21711870379580622,False
CALR,3,2,0.4657991481593706,True
CALU,3,2,0.4289988526365936,True
CAMK1G,3,2,-0.1868495447489155,True
CAMK2G,3,2,0.00806496041429335,False
CAMSAP2,3,2,0.3383275959721317,False
CAMTA1,3,2,-0.013083650620616302,True
CAND2,3,2,0.20890348372257161,True
CAP2,3,2,0.0995368763011489,False
CAPG,2,2,0.6943707319212973,True
CAPZB,3,2,0.19040249356633096,True
CARD8,3,2,0.478421239381543,True
CARD9,3,2,0.6448542827993008,True
CARHSP1,3,2,0.5594433337849072,True
CBARP,3,2,0.3181399775351415,True
CBFB,3,2,0.38554733283393783,True
CBL,3,2,0.3064431689250104,True
CBLN2,3,2,-0.353244543295171,True
CBLN4,3,2,-0.29483825045961937,True
CBX5,3,2,-0.07008608089398975,False
CBX7,3,2,-0.009486585707818426,True
CCAR2,3,2,0.23475690449628375,False
CCDC120,3,2,0.4196461510806033,True
CCDC121,2,2,0.47303932798026754,True
CCDC167,3,2,0.3837479208135936,True
CCDC18,2,2,0.753533935399437,True
CCDC184,3,2,-0.17198121896734145,True
CCDC25,3,2,0.030463513065308295,True
CCDC50,3,2,0.5069294939391398,True
CCDC51,3,2,-0.034781327175638456,True
CCDC77,3,2,0.5493956956971218,True
CCDC90B,3,2,0.36945083346534346,True
CCK,3,2,-0.20636995582748993,True
CCL20,2,2,0.5617006480666915,True
CCN1,2,2,1.430493484144666,True
CCNB1IP1,3,2,0.1744988978590795,True
CCNE1,3,2,0.1331291026277975,True
CCNI,3,3,0.43927538139092154,False
CD14,3,3,1.1477238826406753,True
CD151,3,2,0.6257878529374329,True
CD44,3,2,1.3540982896450107,True
CD63,3,3,0.4226282268750016,True
CD68,2,2,0.6665941958245623,True
CD79B,2,2,0.6296990548643171,True
CD84,3,2,0.5509844205519027,True
CD93,2,2,1.5098445440197916,True
CD99,3,3,0.5719956763109796,True
CDAN1,3,2,0.40153846430637774,True
CDC123,3,2,0.10840183027813784,True
CDC14A,2,2,0.8628906460502571,True
CDC27,2,2,-0.05785124759671145,False
CDC42,3,2,-0.03735343645472463,False
CDC42EP4,3,2,0.6668083291634185,True
CDC42SE2,3,2,0.2940434513594076,False
CDC7,3,2,0.010983392036174303,True
CDCA5,3,2,-0.12630897912811845,True
CDH10,3,2,0.17174896407136112,False
CDH11,3,2,0.49781015533200473,True
CDIP1,3,2,0.09189790139988012,False
