gene,cluster_id,max_level_survived,mean_log2fc,direction
PPP6R1,675,4,0.6835841423681533,up
PRMT3,675,4,0.6803920482853711,up
PYGL,675,4,0.678968574179134,up
TACC3,675,4,0.6805363984216528,up
CEP55,676,4,1.4304396171558058,up
DUOXA2,676,4,1.417409718274594,up
IKBKE,676,4,1.4119632165631344,up
KIF14,676,4,1.4338379361688645,up
NLRX1,676,4,1.4271716364889702,up
SMOX,676,4,1.4167003967735805,up
SMPD3,676,4,1.4184188053055262,up
SPRR1B,676,4,1.4250669680368921,up
STYK1,676,4,1.4240754821089001,up
ULBP2,676,4,1.4220029046177736,up
CENPK,677,4,0.765685985309964,up
CNTNAP2,677,4,0.7701477817887926,up
DHRS13,677,4,0.7716833813228954,up
EGFL8,677,4,0.7710185186359042,up
KPTN,677,4,0.7704702237734533,up
LRRC55,677,4,0.766686401543484,up
MROH6,677,4,0.7684307967957649,up
MTG1,677,4,0.7725540819916327,up
MXD1,677,4,0.771157983455883,up
SLC23A1,677,4,0.7701071149055531,up
SLC25A25,677,4,0.7716149044593057,up
YOD1,677,4,0.7685117035053254,up
HEATR3,678,4,0.773408428879309,up
IRF1,678,4,0.7755339467545628,up
MREG,678,4,0.7739880111086455,up
PLAU,678,4,0.7737889132860036,up
PRIM1,678,4,0.7750018982156432,up
HSD17B11,681,4,-0.38980588119612014,down
MTMR11,681,4,-0.3891575683474897,down
MYH10,681,4,-0.3881256931256333,down
PLA2G12A,681,4,-0.3892437806795155,down
S100A4,681,4,-0.3878169072958926,down
ZNF462,681,4,-0.387514083893256,down
CADPS2,682,4,-0.38467214282771434,down
FNIP1,682,4,-0.38619052215390365,down
IGF1R,682,4,-0.38497532974137927,down
MEGF9,682,4,-0.38646687135522373,down
RAPGEF2,682,4,-0.3854463550012669,down
RTN4,682,4,-0.38531422130134285,down
RUFY3,682,4,-0.3856211066493406,down
CCM2,683,4,0.2329812304449791,up
CCND2,683,4,0.219511551882609,up
CDCA4,683,4,0.3340452879056791,up
CKS1B,683,4,0.20085323713235176,up
COX5A,683,4,0.20229649020664472,up
CYBC1,683,4,0.3270799751362841,up
DUSP18,683,4,0.39982673695803594,up
FSAF1,683,4,0.3402747181795117,up
HIRA,683,4,0.23769707750697333,up
JPT1,683,4,0.21627311135585747,up
NCBP2AS2,683,4,0.31502764194028865,up
SNRNP25,683,4,0.3290797004310346,up
TEX264,683,4,0.3285178990872215,up
TOLLIP,683,4,0.3198456900671919,up
TRPT1,683,4,0.2900624850564147,up
VSIG2,683,4,0.2648374514135399,up
BATF,684,4,0.20093233325938117,up
FBXW5,684,4,0.24675311965960867,up
GMPPA,684,4,0.266236276020537,up
HES6,684,4,0.09440225862068954,up
MRPL16,684,4,0.2329194352497469,up
MRPS33,684,4,0.2025861128296143,up
RPUSD1,684,4,0.182766787557049,up
SH3BP1,684,4,0.2063749460731492,up
TNFSF9,684,4,0.2142694009096096,up
ADGRD1,685,4,-1.0651273453980727,down
ADH1B,685,4,-1.0723184260427236,down
FGF1,685,4,-1.0665830426438894,down
NBEA,685,4,-1.0706509881782456,down
PDK4,685,4,-1.0663129079773084,down
TMEM178A,685,4,-1.0716063107726923,down
ZNF573,685,4,-1.0676258826540317,down
COL28A1,686,4,-1.0615664708893247,down
CRIP1,686,4,-1.054719300995183,down
ELAPOR2,686,4,-1.0593182411733013,down
MUC1,686,4,-1.061961482726927,down
NRN1,686,4,-1.0579345413919863,down
PDE9A,686,4,-1.0591240815320744,down
RGMB,686,4,-1.0615850269871956,down
ZNF677,686,4,-1.0561867535021563,down
BAIAP3,687,4,-0.025746171415440722,down
EDC3,687,4,0.08697931663602913,up
FIS1,687,4,-0.1920899812214757,down
RLIM,687,4,0.02297657409989841,up
ALDH1A3,688,4,0.9605890694884636,up
BORA,688,4,0.9530845591563131,up
C12orf54,688,4,0.9604017840390464,up
CALML5,688,4,0.9599081301343801,up
CCNE2,688,4,0.9505369006085203,up
GINS3,688,4,0.9591301473757607,up
HJURP,688,4,0.9597910742900613,up
PHF19,688,4,0.9555340245150863,up
UHRF1,688,4,0.9609003987702837,up
ALDH3B2,689,4,0.45279241946627724,up
CTSL,689,4,0.45561609132543224,up
GALE,689,4,0.4560376336048434,up
IER2,689,4,0.4539519318268276,up
NAPA,689,4,0.45258248738590223,up
OXCT1,689,4,0.45331771532708065,up
PCK2,689,4,0.4559899398928755,up
SAAL1,689,4,0.45361366552041105,up
SGK1,689,4,0.4568492216816679,up
SH3BP5L,689,4,0.4566006674378811,up
VRK1,689,4,0.45548135157834546,up
C1QBP,690,4,0.4504632319028916,up
CSF2RA,690,4,0.45135032587474566,up
FBXW9,690,4,0.4503673389959426,up
PSMB8,690,4,0.45136187934203686,up
RBM45,690,4,0.4498643904348378,up
TUSC2,690,4,0.4509541775323265,up
ANKRD36,691,4,-0.5932929760712473,down
CPE,691,4,-0.5938646056192942,down
FGD4,691,4,-0.5901866221158716,down
GATA2,691,4,-0.5957673908468555,down
KCNJ8,691,4,-0.5960730037240103,down
MCC,691,4,-0.5889978348916068,down
MECP2,691,4,-0.5968668265720081,down
PCGF5,691,4,-0.5967227012550711,down
PIGL,691,4,-0.5957369972109537,down
PLCXD3,691,4,-0.5962594881782453,down
PYGB,691,4,-0.5908989126362842,down
RNF125,691,4,-0.5947560511536529,down
SCCPDH,691,4,-0.5952121873732247,down
SMAD4,691,4,-0.591276468623225,down
ARHGEF9,692,4,-0.5984284583544628,down
FRMD4A,692,4,-0.5997371101673421,down
HABP4,692,4,-0.5985931289617138,down
HSPB2,692,4,-0.5976156001996706,down
ITM2C,692,4,-0.5979036318775353,down
ITSN1,692,4,-0.5989343716087717,down
RHOBTB1,692,4,-0.5990590925297918,down
SLIT2,692,4,-0.5986183530521049,down
SYNE2,692,4,-0.5985071799252024,down
