gene,cluster_id
CBFA2T2,590
CBFB,309
CBLB,327
CBLC,777
CBLL1,130
CBLN3,519
CBR1,491
CBR3,456
CBR4,562
CBS,8
CBX1,493
CBX2,716
CBX4,490
CBX5,280
CBX6,629
CBX7,655
CBY1,587
CC2D1A,175
CC2D1B,355
CC2D2B,46
CCBE1,-1
CCDC107,229
CCDC112,512
CCDC120,78
CCDC121,306
CCDC122,96
CCDC124,407
CCDC127,8
CCDC134,511
CCDC137,525
CCDC138,515
CCDC14,452
CCDC146,326
CCDC149,118
CCDC152,470
CCDC160,369
CCDC167,583
CCDC174,631
CCDC186,369
CCDC191,224
CCDC28A,636
CCDC3,794
CCDC32,639
CCDC34,334
CCDC43,99
CCDC50,479
CCDC51,675
CCDC57,390
CCDC59,753
CCDC7,226
CCDC74B,147
CCDC8,316
CCDC80,-1
CCDC82,294
CCDC85A,715
CCDC85C,752
CCDC86,187
CCDC88B,535
CCDC88C,113
CCDC9,529
CCDC93,252
CCDC97,108
CCDC9B,286
CCL18,146
CCL19,484
CCL2,129
CCL20,717
CCL22,632
CCL27,421
CCL28,327
CCL3L3,129
CCL4,760
CCL5,620
CCL7,593
CCL8,304
CCM2,683
CCN2,53
CCN3,592
CCN5,69
CCNA2,583
CCNB1,433
CCNB1IP1,584
CCND1,664
CCND2,683
CCNDBP1,638
CCNE1,737
CCNE2,688
CCNF,675
CCNG1,601
CCNH,48
CCNI,735
CCNK,609
CCNL2,613
CCNO,435
CCNQ,508
CCPG1,328
CCR1,211
CCR2,383
CCR5,594
CCR7,526
CCRL2,104
CCSAP,724
CCSER2,601
CCT2,290
CCT5,671
CCT6A,105
CCT7,99
CCT8,529
CCZ1B,160
CD101,596
CD109,778
CD151,392
CD160,366
CD164,438
CD177,536
CD1A,53
CD1B,-1
CD1C,496
CD2,67
CD200,381
CD207,172
CD226,680
CD24,249
CD248,53
CD274,800
CD28,245
CD2BP2,609
CD300LG,336
CD320,509
CD34,174
CD36,565
CD38,93
CD3D,303
CD3G,621
CD44,372
CD46,372
CD48,777
CD5,108
CD52,806
CD53,707
CD59,23
CD6,665
CD63,277
CD69,132
CD80,-1
CD81,14
CD82,568
CD83,624
CD8A,348
CD9,178
CD96,536
CD99,545
CD99L2,183
CDC123,396
CDC14B,376
CDC20,720
CDC25A,434
CDC25B,525
CDC26,120
CDC34,273
CDC37L1,366
CDC42BPA,235
CDC42BPB,475
CDC42EP4,312
CDC42EP5,25
CDC45,435
CDC50A,362
CDC50B,594
CDC6,4
CDC7,-1
CDC73,90
CDCA2,-1
CDCA3,624
CDCA4,683
CDCA5,155
CDCA7,706
CDCA7L,638
CDCA8,674
CDCP1,771
CDH1,424
CDH10,578
CDH11,1
CDH12,116
CDH13,554
CDH19,248
CDH2,657
CDH26,65
CDH3,720
CDH5,551
CDHR1,427
CDHR3,464
CDK1,767
CDK12,489
CDK13,742
CDK14,238
CDK2,76
CDK2AP2,761
CDK4,679
CDK5,437
CDK5R1,304
CDK5RAP3,204
CDK7,405
CDKAL1,496
CDKL2,329
CDKN1A,706
CDKN1B,359
CDKN1C,235
CDKN2A,779
CDKN3,125
CDNF,372
CDO1,172
CDON,183
CDR2L,216
CDS1,271
CDS2,277
CDSN,620
CDT1,701
CDYL2,273
CEACAM1,546
CEACAM19,776
CEACAM4,356
CEACAM5,246
CEACAM6,358
CEACAM7,173
CEBPB,167
CEBPD,706
CEBPZOS,627
CELF1,217
CELF2,586
CELF4,139
CELSR3,385
CEMIP,595
CENPA,667
CENPB,490
CENPE,125
CENPH,311
CENPK,677
CENPL,704
CENPM,456
CENPO,395
CENPV,53
CENPW,260
CENPX,659
CEP104,500
CEP112,365
CEP120,149
CEP126,787
CEP128,-1
CEP15,355
CEP170B,660
CEP290,519
CEP350,296
CEP44,-1
CEP55,676
CEP57L1,268
CEP63,-1
CEP68,436
CEP76,569
CEP78,634
CEP85L,-1
CEP95,804
CEP97,495
CEPT1,-1
CERCAM,64
CERS2,114
CERS3,0
CERS5,617
CERS6,230
CERT1,559
CETN2,762
CFAP107,754
CFAP119,423
CFAP184,330
CFAP20,416
CFAP263,768
CFAP298,386
CFAP300,186
CFAP36,3
CFAP44,327
CFAP45,535
CFAP68,264
CFAP69,561
CFAP70,336
CFAP91,784
CFAP97,453
CFB,260
CFD,103
CFDP1,778
CFH,49
CFHR1,803
CFHR2,148
CFL1,529
CFL2,657
CFLAR,450
CFTR,172
CGGBP1,742
CGRRF1,604
CH25H,632
CHAC1,-1
CHAC2,7
CHAD,178
CHAF1A,187
CHAF1B,538
CHAMP1,296
CHCHD1,659
CHCHD4,771
CHCHD5,87
CHCHD7,163
CHD1L,353
CHD2,580
CHD3,459
CHD6,116
CHD7,320
CHD8,161
CHD9,91
CHDH,9
CHEK1,35
CHEK2,291
CHFR,154
CHI3L2,800
CHIC2,73
CHL1,214
CHM,651
CHMP4C,330
CHMP6,406
CHN1,222
CHP2,477
CHPT1,225
CHRDL1,52
CHRM1,635
CHRM3,426
CHRNA5,150
CHRNA9,799
CHST1,434
CHST11,273
CHST14,488
CHST3,610
CHTF18,765
CHTOP,490
CHUK,748
CIAO2A,405
CIAO2B,448
CIAO3,-1
CIART,546
CIB2,27
CIBAR1,778
CIDEA,358
CIDEB,456
CIDEC,52
