gene,cluster_id
ATP6V1E2,790
ATP6V1G1,-1
ATP6V1G2,467
ATP6V1H,553
ATP7A,140
ATP7B,69
ATP8A1,163
ATP8B1,162
ATP8B2,398
ATP8B3,230
ATP8B4,87
ATP9A,322
ATP9B,583
ATPAF1,372
ATPAF2,646
ATR,208
ATRAID,236
ATRX,18
ATXN1,456
ATXN10,664
ATXN1L,806
ATXN2L,70
ATXN7,467
ATXN7L3,507
AUH,713
AUNIP,4
AUP1,225
AURKA,59
AURKB,625
AUTS2,622
AVEN,374
AVL9,611
AVPI1,397
AXIN1,500
AXIN2,57
AZGP1,360
AZI2,268
AZIN1,178
B2M,512
B3GALNT1,526
B3GALNT2,554
B3GALT2,118
B3GALT4,490
B3GALT5,364
B3GALT6,719
B3GNT5,42
B3GNT6,75
B3GNT7,602
B3GNT8,402
B4GALNT2,751
B4GALT2,27
B4GALT3,465
B4GALT4,518
B4GALT5,720
B4GALT6,332
B4GALT7,559
B9D1,218
BABAM2,282
BACE1,13
BACE2,689
BACH1,15
BAD,190
BAG1,693
BAG2,797
BAG3,241
BAG4,391
BAG6,720
BAIAP2,438
BAIAP2L1,621
BAIAP2L2,436
BAIAP3,370
BAK1,801
BAMBI,130
BANF1,624
BANP,499
BARD1,790
BAZ1B,572
BAZ2B,140
BBIP1,111
BBLN,385
BBOF1,581
BBS1,760
BBS10,420
BBS12,615
BBS4,55
BCAN,475
BCAP31,638
BCAR3,3
BCAS1,196
BCAS3,802
BCCIP,680
BCHE,361
BCKDHB,530
BCKDK,698
BCL10,518
BCL11B,541
BCL2,98
BCL2L1,670
BCL2L10,106
BCL2L12,7
BCL2L13,615
BCL2L2,87
BCL6,249
BCL7A,68
BCL7C,71
BCL9L,82
BCLAF1,279
BCO1,574
BCOR,586
BCORL1,661
BCR,378
BCS1L,221
BDH1,310
BDH2,584
BDKRB1,40
BDKRB2,402
BECN1,476
BEND3,669
BEND5,372
BEST2,171
BEST4,245
BET1,773
BET1L,784
BEX1,189
BEX4,751
BFAR,92
BFSP1,264
BGN,298
BHLHE22,461
BHLHE40,534
BHLHE41,307
BICD1,186
BICD2,669
BICDL1,341
BICDL2,467
BID,425
BIK,153
BIN1,611
BIN2,530
BIRC2,518
BIRC3,794
BIRC5,655
BIVM,481
BKGD,590
BLACAT1,59
BLCAP,34
BLM,634
