gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ANAPC1,3,3,-0.10903908344286022,-0.10903908344286022,True
ANO1,3,2,-0.08082594593956723,-0.1102637903943649,True
ANTXR1,3,3,0.16606114682681045,0.16606114682681045,True
APOC4,3,2,-0.0326740014632029,0.018288254878785843,True
ARHGAP45,3,3,0.0787577397239559,0.0787577397239559,False
ARID4B,3,2,-0.004777523206969568,0.029234937855433726,True
ARIH2,3,2,-0.06283516302952681,-0.09484854434757903,True
ARL17B,3,2,0.011699201849987207,0.039328285972926015,True
ARMH3,3,2,0.03792096092154527,0.06357936452649984,True
ASB3,3,2,0.06505695646711039,0.10017320109781767,True
ATP6V0E2,3,3,-0.21798933233726414,-0.21798933233726414,True
BANK1,3,2,-0.012590747526565046,0.03421434439323445,True
BCAM,3,2,0.036612738573524754,0.04198713881343567,True
BCAR3,3,2,0.06113110306893125,0.06009203436845662,False
BCL3,3,3,0.25987877267839754,0.25987877267839754,True
BORCS5,3,2,-0.07373519024179452,-0.11300496898539594,True
C12orf42,3,2,-0.0217847240116892,-0.09628718001383693,True
CABLES1,3,2,0.08424565991402072,0.07783507963359423,True
CACNA2D3,3,2,-0.22233612755995225,-0.22656364125043282,True
CADM2,3,2,-0.1423260911834712,-0.1181120179844384,True
CD33,3,2,0.13441709074278108,0.1391078168944203,True
CDCA7,3,3,0.05375333132099317,0.05375333132099317,False
CDH13,3,2,-0.33402666481709103,-0.3149643036396639,True
CDH7,3,3,-0.18931147935033454,-0.18931147935033454,True
CDKAL1,3,2,0.05147508203777146,0.07851903631687238,True
CEACAM19,3,3,0.10555613835909616,0.10555613835909616,True
CFAP46,2,2,0.027919428523054034,0.027919428523054034,True
CHID1,3,3,-0.1251972442831043,-0.1251972442831043,True
CHRM3,3,2,-0.2161644177670119,-0.2569333084513322,True
CHST12,3,2,0.07926287118068061,0.08856782103785338,True
CLASRP,3,3,0.12367542939333036,0.12367542939333036,True
CNGB1,3,2,-0.1075047840635615,-0.1493597503803365,True
CNN2,3,3,0.26620238409867064,0.26620238409867064,True
CNTNAP2,3,3,-0.3312806700675361,-0.3312806700675361,True
COL6A3,3,3,0.36549775804014767,0.36549775804014767,True
CR1L,3,2,0.052570010894711805,0.0308199666943697,True
CST4,3,2,-0.07902658755558549,-0.12971034858926894,False
CTNNA2,3,2,-0.029476185864440674,-0.14222486897831915,True
CTNND2,3,2,0.020996389372724845,-0.020398793340982782,True
CUL3,3,2,-0.11479176652157119,-0.12314522431420181,True
CYB561,3,3,-0.0801530839727712,-0.0801530839727712,True
CYCS,3,2,-0.06453720057702377,-0.1706805796261121,True
CYRIA,3,3,-0.17956761363433246,-0.17956761363433246,True
CYYR1,3,3,0.13402679546990917,0.13402679546990917,True
DACH2,3,2,-0.22242105181635274,-0.17995484205834342,True
