gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
TRRAP,3,2,0.48725673557771526,0.7221770524787523,True
TSC1,3,2,0.2886843410242692,0.46063700442744615,False
TSPAN7,3,2,0.292163180612054,0.45454881625462074,False
U2AF2,3,2,0.3659073579306333,0.16938936442731745,True
UBR3,3,2,-0.08220093123339822,-0.25355722660648095,True
UNC79,3,2,0.030536981769329802,-0.254808379724353,True
UNC80,2,2,-0.07174017089276763,-0.07174017089276763,False
WASF1,3,2,-0.20681489841482717,-0.394757772228278,True
WDR37,3,3,0.2616006554213793,0.2616006554213793,False
XRCC6,3,2,-0.03821305923165911,-0.24911262713176097,True
YWHAG,3,2,0.17952461401792932,0.32635157677048277,False
ZBTB20,3,2,0.5962140804464783,0.7762906699107432,True
ZFHX3,3,2,0.5823425239793588,0.46433465007810604,True
ZMIZ1,3,2,0.47566464304096395,0.3520887188261028,True
ZNF385B,3,2,-0.04233008717273575,-0.3557294702805427,True
ZNF462,3,2,0.7238281223627873,0.9947106848134113,True
