Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-05-02_crc_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 70764.4s (1179.4m)

Core gene counts across runs:
  Min: 5994
  Max: 6057
  Mean: 6027.4
  Variance: ±31.5 genes (0.5%)

Unique genes seen: 6192
  Iron-clad (>=90% of runs): 5748
  Borderline (50-89%):       393
  Stochastic (<50%):         51

Iron-clad genes (5748):
  BLOC1S3: 48/50 (96%)
  BLTP1: 50/50 (100%)
  BLVRB: 50/50 (100%)
  BMAL1: 50/50 (100%)
  BMAL2: 50/50 (100%)
  BMP3: 50/50 (100%)
  BMP5: 50/50 (100%)
  BMP6: 47/50 (94%)
  BMP7: 50/50 (100%)
  BMS1: 50/50 (100%)
  BMX: 50/50 (100%)
  BNIP3: 50/50 (100%)
  BOD1: 50/50 (100%)
  BOK: 50/50 (100%)
  BOLA2B: 45/50 (90%)
  BORA: 50/50 (100%)
  BORCS5: 49/50 (98%)
  BRAT1: 50/50 (100%)
  BRCA1: 50/50 (100%)
  BRCA2: 48/50 (96%)
  BRD3: 50/50 (100%)
  BRD3OS: 50/50 (100%)
  BRD4: 50/50 (100%)
  BRD7: 47/50 (94%)
  BRD9: 49/50 (98%)
  BRIP1: 50/50 (100%)
  BRIX1: 50/50 (100%)
  BRMS1: 50/50 (100%)
  BRPF1: 49/50 (98%)
  BSG: 50/50 (100%)
  BST1: 46/50 (92%)
  BTBD3: 49/50 (98%)
  BTBD7: 50/50 (100%)
  BTD: 49/50 (98%)
  BTF3L4: 50/50 (100%)
  BTG1: 50/50 (100%)
  BTG2: 50/50 (100%)
  BTK: 50/50 (100%)
  BTLA: 50/50 (100%)
  BTN3A3: 50/50 (100%)
  BTNL3: 50/50 (100%)
  BTNL8: 50/50 (100%)
  BUB1: 50/50 (100%)
  BUB1B: 49/50 (98%)
  BUB3: 50/50 (100%)
  BUD13: 50/50 (100%)
  BUD23: 50/50 (100%)
  BUD31: 48/50 (96%)
  BYSL: 50/50 (100%)
  BZW2: 50/50 (100%)
  C10orf143: 47/50 (94%)
  C11orf58: 50/50 (100%)
  C11orf71: 50/50 (100%)
  C11orf86: 50/50 (100%)
  C11orf96: 50/50 (100%)
  C11orf98: 49/50 (98%)
  C12orf43: 47/50 (94%)
  C12orf57: 46/50 (92%)
  C12orf75: 50/50 (100%)
  C14orf132: 48/50 (96%)
  C15orf40: 50/50 (100%)
  C16orf89: 50/50 (100%)
  C17orf75: 49/50 (98%)
  C19orf25: 50/50 (100%)
  C19orf33: 50/50 (100%)
  C19orf53: 50/50 (100%)
  C1GALT1: 46/50 (92%)
  C1GALT1C1: 48/50 (96%)
  C1QA: 49/50 (98%)
  C1QTNF1: 50/50 (100%)
  C1QTNF12: 50/50 (100%)
  C1QTNF5: 50/50 (100%)
  C1QTNF7: 49/50 (98%)
  C1orf115: 50/50 (100%)
  C1orf174: 50/50 (100%)
  C1orf198: 50/50 (100%)
  C1orf21: 50/50 (100%)
  C1orf210: 50/50 (100%)
  C1orf216: 50/50 (100%)
  C1orf226: 50/50 (100%)
  C1orf35: 49/50 (98%)
  C1orf74: 49/50 (98%)
  C2: 50/50 (100%)
  C22orf39: 50/50 (100%)
  C2CD2: 50/50 (100%)
  C2CD4A: 50/50 (100%)
  C2orf49: 49/50 (98%)
  C2orf68: 50/50 (100%)
  C2orf72: 50/50 (100%)
  C2orf74: 50/50 (100%)
  C3: 50/50 (100%)
  C3orf70: 50/50 (100%)
  C3orf85: 50/50 (100%)
  C4orf33: 50/50 (100%)
  C5orf15: 50/50 (100%)
  C5orf34: 50/50 (100%)
  C6orf120: 50/50 (100%)
  C6orf132: 50/50 (100%)
  C7: 50/50 (100%)
  C8orf33: 50/50 (100%)
  C8orf88: 46/50 (92%)
  C9orf72: 50/50 (100%)
  CA1: 50/50 (100%)
  CA12: 50/50 (100%)
  CA2: 49/50 (98%)
  CA4: 48/50 (96%)
  CA7: 50/50 (100%)
  CA9: 50/50 (100%)
  CABLES2: 50/50 (100%)
  CACNA1D: 50/50 (100%)
  CACNA2D4: 47/50 (94%)
  CACYBP: 50/50 (100%)
  CAD: 50/50 (100%)
  CADM1: 50/50 (100%)
  CADPS: 50/50 (100%)
  CALCOCO2: 48/50 (96%)
  CALD1: 50/50 (100%)
  CALM3: 50/50 (100%)
  CALML4: 50/50 (100%)
  CALR: 50/50 (100%)
  CALU: 50/50 (100%)
  CAMK1D: 49/50 (98%)
  CAMK2D: 50/50 (100%)
  CAMK2N1: 50/50 (100%)
  CAMKMT: 50/50 (100%)
  CAMLG: 50/50 (100%)
  CAMSAP1: 48/50 (96%)
  CAMSAP2: 50/50 (100%)
  CAND2: 50/50 (100%)
  CAPN2: 50/50 (100%)
  CAPN5: 50/50 (100%)
  CAPN9: 50/50 (100%)
  CARD16: 50/50 (100%)
  CARF: 50/50 (100%)
  CARHSP1: 50/50 (100%)
  CARM1: 50/50 (100%)
  CARS1: 50/50 (100%)
  CARS2: 50/50 (100%)
  CARTPT: 47/50 (94%)
  CASD1: 50/50 (100%)
  CASK: 47/50 (94%)
