cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
241,3,EIF3M|URI1|XRCC5,1,1,1.0
243,5,CAST|CRYBG1|GHITM|PAFAH1B1|SELENOT,1,1,1.0
244,8,ABCB4|CES2|COXFA4L3|ERLN|EVA1B|NOCT|RBMS1|TMEM72,1,2,1.6
245,17,ACSM3|BCL2|CBX3|CCT6A|DNAJC2|DTYMK|ETHE1|KLRF1|NIT2|NLGN4X|PDGFD|PHF20|SINHCAF|STYK1|TMEM238L|TP53INP2|TROAP,1,2,1.5
246,23,ANXA5|CCNH|EXOSC1|FUNDC2|FZR1|GYG1|HNRNPDL|HSF2|IGFBP5|LDLR|NEDD4|PLEKHA8|PRXL2C|RAB23|RHOB|S1PR3|SLC19A2|STK38L|TASOR2|TTC8|UIMC1|WDR90|XPNPEP3,1,1,1.0
247,5,ELAC2|GCAT|PSMD5|TMC6|ZNF614,2,2,2.0
248,1,NFYC,2,2,2.0
249,5,LGALS3|MYL12B|NIT1|RNFT2|TRPM7,2,2,2.0
250,16,AMIGO2|ANTXR2|ARHGEF37|C19orf33|CEP70|CUL1|IDO1|MX2|NUP62|PKP2|PLCG1|RNF144A|SGPP2|SIPA1L2|SRI|ST6GALNAC3,2,2,2.0
251,16,CCNYL1|CRTAP|CST4|EPB41L4B|GDI1|HSD17B10|IDH3A|IMPA1|IPO7|KHSRP|KITLG|LTBP2|MTUS1|NFS1|SNRPE|VAC14,2,3,2.6
252,16,ARL8A|CTSB|DEK|DOCK5|ITGB5|MAPKAPK2|ME2|MGAT4A|NUDT6|PHRF1|PLA2G15|SERINC3|SH3BGRL2|TRAPPC9|VBP1|XRCC1,2,2,2.0
253,13,CCNDBP1|CLRN3|CPT1A|EEF2KMT|FAHD1|HSD17B11|MACIR|MARCHF8|PEX11A|RALY|SMG9|SPMIP6|TINAG,2,2,2.0
255,5,BMP5|CLEC10A|NAAA|RSPO2|TRAT1,2,2,2.0
258,6,FIGNL1|GARS1|GDPD5|ITGA2|PUS1|SLC27A5,2,2,2.0
260,4,AASDHPPT|ANKRD22|SEMA4C|TSEN15,2,2,2.0
261,19,ASAP1|ATG3|CHPT1|DPM2|DUSP10|ECE2|EFNA4|EPHA2|GRHL2|HIKESHI|HNRNPUL1|IRS2|NABP2|NOL11|PSMD13|RNASEH2B|SDC4|TNFSF11|USP33,1,2,1.8
