hgnc_symbol,cluster_id,dataset,tissue,log2fc,pvalue,direction,discovery_direction,concordant,significant,eliminated
GNPNAT1,11,GSE15222,brain,0.4682295346241112,8.038014698286133e-14,up,up,True,True,False
NPY,16,GSE15222,brain,-1.0936429971261594,2.9729685380175397e-09,down,down,True,True,False
FARSA,13,GSE15222,brain,-0.2317343553864113,8.809175611190767e-12,down,down,True,True,False
TSPOAP1,24,GSE15222,brain,-0.34595545047322496,5.733191699164308e-13,down,down,True,True,False
CTSH,26,GSE15222,brain,,,,up,,False,False
KLHL29,6,GSE15222,brain,,,,down,,False,False
C1QTNF4,13,GSE15222,brain,-0.376170252658115,9.614322538098463e-08,down,down,True,True,False
STMN4,16,GSE15222,brain,-0.16008939900847174,0.007591760037603867,down,down,True,True,False
SMARCC1,4,GSE15222,brain,0.3777369762385927,3.9968028886505635e-15,up,up,True,True,False
NCKAP5,4,GSE15222,brain,,,,up,,False,False
AP2A2,24,GSE15222,brain,-0.24276224318258421,6.009209130297677e-07,down,down,True,True,False
ECHDC3,4,GSE15222,brain,-inf,,down,up,False,False,False
MDH2,14,GSE15222,brain,-0.3404049173090815,1.7763568394002505e-15,down,down,True,True,False
DHRS11,13,GSE15222,brain,-0.5872552592897007,0.0,down,down,True,True,False
FSTL5,6,GSE15222,brain,-0.13747188606575556,0.23489357317925297,down,down,True,False,False
TMEM163,16,GSE15222,brain,-0.3082889481039155,0.00041616291898671776,down,down,True,True,False
TSPAN14,26,GSE15222,brain,-0.0738976634188564,0.2301329322471415,down,up,False,False,False
ADARB2,4,GSE15222,brain,0.6025582119071187,5.142819503589635e-11,up,up,True,True,False
CYRIA,6,GSE15222,brain,-inf,,down,down,True,False,False
LAIR1,26,GSE15222,brain,,,,up,,False,False
NECAB1,16,GSE15222,brain,-1.1520551673759174,4.2326275817572423e-10,down,down,True,True,False
SLC12A4,25,GSE15222,brain,0.44731953744046127,5.161648886087278e-12,up,up,True,True,False
RIMBP2,16,GSE15222,brain,,,,down,,False,False
ATP6V0E2,6,GSE15222,brain,,,,down,,False,False
NBAS,10,GSE15222,brain,-0.0755181835536698,0.10114016712091622,down,up,False,False,False
MSN,25,GSE15222,brain,0.32524774355448294,4.372375279615426e-07,up,up,True,True,False
PDE10A,11,GSE15222,brain,,,,up,,False,False
ZNF232,11,GSE15222,brain,0.18404460804407385,5.3395069110617754e-06,up,up,True,True,False
ATP5PO,8,GSE15222,brain,-0.09083536635847267,0.0006804766355061886,down,down,True,True,False
RBMS3,4,GSE15222,brain,,,,up,,False,False
SV2B,13,GSE15222,brain,-0.5107654051546735,3.522870883898577e-11,down,down,True,True,False
NDUFS3,8,GSE15222,brain,-0.07831905872081357,0.0023030608241327855,down,down,True,True,False
AGAP1,12,GSE15222,brain,0.15732694480264175,0.07741345249839582,up,up,True,False,False
BORCS5,12,GSE15222,brain,,,,up,,False,False
HSPA2,25,GSE15222,brain,,,,up,,False,False
PDHB,14,GSE15222,brain,-0.3725717484188422,0.0,down,down,True,True,False
TRIOBP,25,GSE15222,brain,,,,up,,False,False
GRN,26,GSE15222,brain,0.21829495911833696,2.458303591801325e-07,up,up,True,True,False
PILRA,4,GSE15222,brain,,,down,up,False,False,False
NDUFA10,8,GSE15222,brain,-0.11464872994488395,0.01016621216343383,down,down,True,True,False
RELB,11,GSE15222,brain,,,,up,,False,False
RBFOX1,16,GSE15222,brain,,,,down,,False,False
LUZP2,11,GSE15222,brain,,,,up,,False,False
DACH2,16,GSE15222,brain,-0.46518439558968705,0.0026613754506650267,down,down,True,True,False
CYCS,8,GSE15222,brain,-0.17202084414909002,1.88084978178793e-05,down,down,True,True,False
ADAM10,11,GSE15222,brain,0.16074462538215162,0.16642643441644278,up,up,True,False,False
DLGAP2,13,GSE15222,brain,-0.846074804623882,3.92103616242423e-09,down,down,True,True,False
SLC26A1,4,GSE15222,brain,0.5308374066762047,4.284042785407394e-06,up,up,True,True,False
NSF,24,GSE15222,brain,-0.5761992329810788,2.886579864025407e-15,down,down,True,True,False
SCARA3,25,GSE15222,brain,0.18422128026571993,0.018778841064644336,up,up,True,True,False
VGF,13,GSE15222,brain,-1.2790925189382407,3.026422223939562e-09,down,down,True,True,False
CHST12,4,GSE15222,brain,0.7437804678801232,0.0,up,up,True,True,False
AHNAK,4,GSE15222,brain,0.992270276949204,4.15112388907346e-11,up,up,True,True,False
MSR1,11,GSE15222,brain,,,,up,,False,False
APOC1,25,GSE15222,brain,,,,up,,False,False
FAR2,16,GSE15222,brain,-inf,,down,down,True,False,False
TAGLN3,13,GSE15222,brain,-0.4954708515099657,1.0178524689763435e-12,down,down,True,True,False
AKAP6,16,GSE15222,brain,-0.36255225449867456,2.3169688390112242e-11,down,down,True,True,False
SEMA3F,25,GSE15222,brain,0.682255965317788,2.3092638912203256e-14,up,up,True,True,False
ABCA8,25,GSE15222,brain,0.3281951771922227,0.0011296046160282902,up,up,True,True,False
IMMP2L,6,GSE15222,brain,-0.15475341092441752,0.0008865659456556152,down,down,True,True,False
RBM34,6,GSE15222,brain,-0.09238937832370375,0.8491065049962643,down,down,True,False,False
SERPINI1,13,GSE15222,brain,,,,down,,False,False
LILRA5,4,GSE15222,brain,,,,up,,False,False
CPLX1,24,GSE15222,brain,-0.47315563910523295,1.5847354539744174e-09,down,down,True,True,False
VTI1A,4,GSE15222,brain,,,,up,,False,False
MTMR2,6,GSE15222,brain,,,,down,,False,False
LAPTM5,10,GSE15222,brain,0.39275569057423354,1.2278099692508704e-07,up,up,True,True,False
RAPSN,12,GSE15222,brain,inf,,up,up,True,False,False
WNT3,10,GSE15222,brain,0.29652995795133386,0.009819682722866707,up,up,True,True,False
PRDX6,26,GSE15222,brain,0.15712796001848162,0.011506288472937554,up,up,True,True,False
