hgnc_symbol,ensembl_id,tier,cluster_id,dominant_direction,average_log2fc,neg_log10_min_p,n_datasets_sig,direction_score,n_pathways
CYYR1,ENSG00000166265,3,4,up,0.507999998412659,10.0,3,1.0,0
DACH2,ENSG00000126733,3,16,down,-0.651939698413979,10.0,3,1.0,0
DCHS2,ENSG00000197410,3,32,down,0.031257607068369324,10.0,2,1.0,1
DEDD,ENSG00000158796,3,11,up,0.0337193047192352,6.781348571955731,2,0.5,0
DGKI,ENSG00000157680,3,28,down,-0.36810618152249597,10.0,3,1.0,3
DLG2,ENSG00000150672,3,19,down,-0.23930638238413082,10.0,3,1.0,8
DOCK1,ENSG00000150760,3,1,up,0.20417633568312865,10.0,3,1.0,6
DOCK3,ENSG00000088538,3,1,down,-0.4060146532082074,8.945924714571229,2,1.0,4
DOCK4,ENSG00000128512,3,1,up,0.11375611770244116,10.0,2,1.0,6
DSG2,ENSG00000046604,3,11,up,-0.10825396254568932,9.2727579321714,2,0.5,1
DYSF,ENSG00000135636,3,32,up,0.16845984753897966,10.0,2,1.0,1
ECHDC3,ENSG00000134463,3,4,up,0.1604687347063336,10.0,3,1.0,0
EFL1,ENSG00000140598,3,32,down,-0.18292232117505264,4.587266737596608,3,0.6666666666666666,0
EGFLAM,ENSG00000164318,3,32,up,0.12785890784277937,8.610285779270713,2,1.0,0
EGFR,ENSG00000146648,3,33,up,0.25786666817585374,10.0,2,1.0,27
ELOVL3,ENSG00000119915,3,18,down,-0.03549838315047073,5.416524323241457,2,1.0,0
ENOPH1,ENSG00000145293,3,2,down,-0.30078439906523946,10.0,4,1.0,0
ETV1,ENSG00000006468,3,17,down,-0.17515251033119672,10.0,3,1.0,2
EXOC3L2,ENSG00000283632,3,32,up,0.13230158591858884,6.283717771042635,3,0.6666666666666666,0
EXOC4,ENSG00000131558,3,32,down,-0.1040930143338957,10.0,2,1.0,2
FABP6,ENSG00000170231,3,32,down,-0.2497259034264428,10.0,2,1.0,1
FAM135B,ENSG00000147724,3,18,down,-0.09613212793001684,5.545302422368664,2,1.0,0
FANCD2OS,ENSG00000163705,3,18,up,0.1092101709889968,6.670607849930782,2,1.0,0
FAR2,ENSG00000064763,3,16,down,-0.519715102947568,10.0,3,1.0,0
FARP1,ENSG00000152767,3,1,up,0.15835598347188526,10.0,2,0.5,4
FBP1,ENSG00000165140,3,32,up,-0.021041009768320497,10.0,2,1.0,2
FBXL7,ENSG00000183580,3,3,up,0.20785372086120116,10.0,3,1.0,2
FBXO40,ENSG00000163833,3,3,down,-0.20555324315584284,2.6165513834234426,2,1.0,2
FLNB,ENSG00000136068,3,32,up,0.09745977948039974,10.0,2,1.0,1
FOXP2,ENSG00000128573,3,0,down,-0.09011939043856317,10.0,2,1.0,5
FRMD4B,ENSG00000114541,3,18,up,0.22173616513175476,4.7108218778435695,2,1.0,0
FSTL5,ENSG00000168843,3,6,down,-0.2864762030655512,10.0,3,1.0,0
GABRG3,ENSG00000182256,3,23,down,-0.09826378698114083,10.0,2,1.0,7
GALNT15,ENSG00000131386,3,4,up,0.2666036801968486,10.0,3,1.0,0
GATAD2A,ENSG00000167491,3,32,up,0.2528227816549878,10.0,4,1.0,5
GEMIN7,ENSG00000142252,3,32,down,-0.19828859626985498,6.570110689807731,3,0.6666666666666666,1
GNPNAT1,ENSG00000100522,3,11,up,-0.09141517425606809,5.440744040974965,2,0.5,0
GPR141,ENSG00000187037,3,32,down,4.9497074975746874e-05,5.72074543179578,3,0.6666666666666666,0
GRIK2,ENSG00000164418,3,23,down,-0.2524260367789991,10.0,2,1.0,4
GRIN3B,ENSG00000116032,3,-1,up,-0.14332495280223947,2.5022560216527667,2,0.5,7
GRK5,ENSG00000198873,3,32,up,0.08504761769931372,6.644242872870486,3,0.6666666666666666,3
GRM8,ENSG00000179603,3,32,down,-0.17246314681050073,10.0,2,1.0,2
H4C8,ENSG00000158406,3,0,up,0.0328148603037045,10.0,2,1.0,15
HACL1,ENSG00000131373,3,2,down,-0.44129915275791537,10.0,4,1.0,0
HBEGF,ENSG00000113070,3,33,up,0.019271182074555995,10.0,2,1.0,14
HCN1,ENSG00000164588,3,19,down,-0.20411388928077123,10.0,2,1.0,1
HDAC9,ENSG00000048052,3,18,down,-0.08438665974605253,3.849789408858544,2,1.0,4
ICE1,ENSG00000164151,3,2,down,-0.20976713577463812,8.65771081928171,4,1.0,0
IMMP2L,ENSG00000184903,3,6,down,-0.17885444037004325,10.0,3,1.0,0
IQCK,ENSG00000174628,3,5,up,0.09761430122190239,10.0,4,0.5,0
IQGAP2,ENSG00000145703,3,1,up,0.13162659156014164,10.0,2,1.0,7
KAZN,ENSG00000189337,3,18,up,0.23135112688950873,5.389554065490423,2,1.0,0
KCNH1,ENSG00000143473,3,19,down,-0.3456140854428072,10.0,3,1.0,2
KCNN2,ENSG00000080709,3,19,down,-0.23615482834291213,10.0,3,1.0,1
KLHL29,ENSG00000119771,3,6,down,-0.20833084575229846,10.0,3,1.0,0
KRAS,ENSG00000133703,3,-1,down,-0.2121581327093161,10.0,2,1.0,31
LILRA5,ENSG00000187116,3,4,up,0.1130007337895302,10.0,3,1.0,3
LIN9,ENSG00000183814,3,32,up,0.12880272330181322,10.0,2,1.0,0
LINC03122,ENSG00000178722,3,32,down,-0.009356315732559496,8.068222537571916,2,1.0,0
LINGO1,ENSG00000169783,3,6,down,-0.2443590894384029,10.0,3,1.0,1
