cluster_id,gene,GSE33000_p,GSE33000_q,GSE5281_p,GSE5281_q,GSE132903_p,GSE132903_q,GSE63060_p,GSE63060_q,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr
6,SMARCA2,0.0,1e-300,0.6707408768724255,0.729821679498494,6.899658622216974e-11,4.996304519536429e-10,0.015823651728458,0.07223841006469957,3,2,3
6,TENM2,0.0,1e-300,4.828597685913039e-06,1.6623041213798985e-05,0.0073908205476866,0.010630632294617711,0.1461901323265027,0.35085631758360647,3,3,3
6,TUSC1,1.1179945857975326e-12,1.7391026890183842e-12,0.0017603683368596,0.003953768457117818,1.3991386293987773e-07,4.590923627714738e-07,,1.0,3,3,3
6,WDR70,2.8362293624795143e-08,3.892863830854235e-08,3.483879851273741e-13,6.651043352431688e-12,0.0019874269451225,0.0032104589113517304,0.0714624270226587,0.2159296356080335,3,3,3
8,COX7C,0.0,1e-300,2.793729749317464e-06,1.0614349070792173e-05,0.010854016478746,0.015392161685483335,1.4181476881702793e-08,5.956220290315173e-07,4,3,4
8,ATP5PO,0.0,1e-300,0.6380862763407844,0.7015608273903913,1.5995684776726191e-09,8.192911714908537e-09,0.0,1e-300,3,3,3
8,COX6B1,0.0,1e-300,4.2828629531754814e-10,3.2705498915158223e-09,2.0872192862952943e-14,4.87017833468902e-13,0.1556554852166161,0.3631961321721042,3,3,3
8,NDUFA13,0.0,1e-300,4.6896708738586306e-11,4.68967087385863e-10,0.068258951410685,0.0858346095583464,0.0006005937912578,0.0048509498524668465,3,3,4
8,NDUFS3,0.0,1e-300,1.8920243149977975e-10,1.5893004245981499e-09,7.921903317775758e-07,2.2789036941546703e-06,4.394042631972184e-07,1.1534361908926984e-05,4,4,4
8,NDUFV1,0.0,1e-300,8.126832540256147e-14,1.8962609260597678e-12,1.879721711617321e-09,9.28803669269735e-09,0.0348483433417015,0.1306812875313806,4,3,3
8,CYCS,0.0,1e-300,1.8523467981701458e-07,8.549292914631442e-07,0.0002466171147665,0.000448394754120909,0.1249277251368627,0.3106440957834264,3,3,3
8,NDUFA10,9.71356328705042e-12,1.4675167555975454e-11,6.400169283438116e-11,5.843632824008714e-10,0.0203807342569972,0.02788243774572907,0.6777371134141921,0.9121517946501443,3,2,3
10,CLNK,4.433617917243282e-09,6.207065084140595e-09,0.7907664815060471,0.8323857700063653,8.992243896166485e-07,2.534726467375788e-06,0.058402140163936,0.19290615344298787,2,2,2
10,MS4A4A,0.0,1e-300,0.3879446194919547,0.4628884664392641,0.8860016519047367,0.939698721717145,0.0450276832522633,0.1562944377351288,2,1,1
10,RHOH,0.0,1e-300,0.0423542389547308,0.06421942368587341,0.537317360710502,0.591702185904958,0.1808077298703074,0.39758767824884356,2,1,2
10,SORT1,0.0,1e-300,0.0010732988772386,0.0025468108951424407,0.411073234632056,0.4643913680531203,0.0851234156978579,0.24156644995338053,2,2,2
10,TMEM106B,0.0084060480129255,0.009516280769349622,0.9912836299182322,1.0,2.6025336310464557e-06,6.6650251526799475e-06,0.869732524006628,1.0,2,2,2
10,WNT3,1.0041052433962251e-08,1.387250665218469e-08,,1.0,8.579223204074893e-06,2.0175483774517956e-05,0.9545519518343526,1.0,2,2,2
10,BSCL2,0.6149319897722445,0.6456785892608568,,1.0,6.415979303397989e-09,2.749705415741995e-08,0.0051038512282586,0.027839188517774185,2,2,2
10,LAPTM5,0.0,1e-300,0.5459402909278372,0.6247818043315849,2.925491782157508e-08,1.1170059531874121e-07,0.0004131783441478,0.0035415286641239997,3,3,3
10,NBAS,,1.0,4.5741188614556456e-14,1.2807532812075808e-12,0.0035909006774177,0.005504300308450488,0.2175917966342664,0.45241858706134597,2,2,2
10,RABEP2,1.1102230246251564e-14,1.8503717077085938e-14,0.0529661856229415,0.0764460411052764,,1.0,0.0202915793668647,0.08507556510167898,2,1,3
