gene,cluster_id,max_level_survived,mean_log2fc,direction
NDUFV1,47,4,-0.13891841347047199,down
STXBP6,47,4,-0.13354654217929596,down
THSD7A,47,4,-0.14895070771719618,down
CACNA2D3,48,4,-0.22233612755995225,down
CDH13,48,4,-0.33402666481709103,down
CHRM3,48,4,-0.2161644177670119,down
DACH2,48,4,-0.22242105181635274,down
DLGAP2,48,4,-0.2133774669521503,down
MEF2C,48,4,-0.18754487162304959,down
RAB27B,48,4,-0.19360764518763732,down
RIMBP2,48,4,-0.2375589704426914,down
SERPINI1,48,4,-0.3425007316829782,down
SLC2A13,48,4,-0.20557972468366156,down
SYN2,48,4,-0.21746963530959876,down
ANO1,49,4,-0.08082594593956723,down
BCKDK,49,4,-0.06396476959253686,down
COX7C,49,4,-0.05332239377493225,down
HS3ST1,49,4,-0.09632128912889915,down
HS3ST5,49,4,-0.08486069686419213,down
MRPL37,49,4,-0.03325186101140624,down
NCK2,49,4,-0.08263980265762609,down
NDUFA13,49,4,-0.07559489488133926,down
NPM3,49,4,-0.09005431357141702,down
PDE4D,49,4,-0.048012288019111206,down
PLEKHA1,49,4,-0.09243143014510713,down
PSEN2,49,4,-0.08453341895634192,down
SLC25A11,49,4,-0.06663436834073293,down
TENM2,49,4,-0.08995969456077772,down
TRAPPC6A,49,4,-0.08164854203270903,down
CNGB1,50,4,-0.1075047840635615,down
CUL3,50,4,-0.11479176652157119,down
DGKI,50,4,-0.10586146225288451,down
IPO7,50,4,-0.10697387790749961,down
NECAB1,50,4,-0.10358472889585353,down
SLIT2,50,4,-0.11158503310066147,down
AHNAK,51,4,0.11045920050268787,up
ANTXR1,51,4,0.16606114682681045,up
LAMA4,51,4,0.09765120466457829,up
MYO1D,51,4,0.18625086888802767,up
PTPRC,51,4,0.2202541797590094,up
PWWP2A,51,4,0.10547515042822968,up
CDH7,52,4,-0.18931147935033454,down
GEMIN7,52,4,-0.15302387043497653,down
MAP2,52,4,-0.1321227513640948,down
RAB3A,52,4,-0.1593011414738987,down
TSPOAP1,52,4,-0.09458971501287479,down
WDR88,52,4,-0.2142414167301887,down
ANAPC1,53,4,-0.10903908344286022,down
ATP5PO,53,4,-0.10961582563005849,down
CYB561,53,4,-0.0801530839727712,down
DDB1,53,4,-0.10811056022285721,down
DPP6,53,4,-0.18284522214863216,down
GAPDH,53,4,-0.10342884302251494,down
LINC03122,53,4,-0.1916105255997361,down
PCM1,53,4,-0.06009235791147253,down
SORL1,53,4,-0.10583987736760204,down
SYT7,53,4,-0.09840290543228773,down
APP,54,4,-0.13260939861027662,down
CHID1,54,4,-0.1251972442831043,down
COX6B1,54,4,-0.1280796416572881,down
MSRA,54,4,-0.1250278520093486,down
NTM,54,4,-0.1307095764159851,down
SEC61G,54,4,-0.1282291335391015,down
YWHAQ,54,4,-0.12071244492443085,down
