hgnc_symbol,ensembl_id,tier,cluster_id,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr_q10,n_datasets_fdr_q05,best_threshold_survived,average_log2fc,direction,GSE33000_log2fc,GSE33000_pvalue,GSE5281_log2fc,GSE5281_pvalue,GSE132903_log2fc,GSE132903_pvalue,GSE63060_log2fc,GSE63060_pvalue,n_brain_datasets_concordant,n_brain_datasets_discordant,n_brain_datasets_nonsig,blood_concordant,eliminated,elimination_reason
RHPN2,ENSG00000131941,2,25,3,3,3,3,4,0.3837424183639012,up,0.0676538219536285,0.0001591355721117,1.1684002570502043,2.499445095338615e-11,0.2987005297475296,3.256538136264808e-05,0.0002150647042427,0.9821677097919492,2.0,0.0,1.0,False,False,
SCARA3,ENSG00000168077,2,25,3,3,3,3,4,0.3341602269127406,up,0.1624260754652085,0.0,0.8810804515353121,5.621552969126142e-06,0.2891721612650961,0.0008350580762903,0.0039622193853459,0.6135968254308248,3.0,0.0,0.0,,False,
SEMA3F,ENSG00000001617,2,25,3,2,3,2,4,0.4225348920318916,up,0.1750774917034682,0.0,1.4486807411264584,0.0,0.0622045350449198,0.038669956130958,0.0041768002527202,0.6442401669715188,3.0,0.0,0.0,True,False,
SEPTIN10,ENSG00000186522,2,25,3,3,3,3,4,0.1660817086632774,up,0.1275212175666262,0.0,0.483250221540171,0.0071158844202106,0.053498270834841,0.0036700059326695,5.712471147134579e-05,0.9935039720226512,2.0,0.0,1.0,True,False,
SLC12A4,ENSG00000124067,2,25,3,3,3,3,4,0.2375139627482777,up,0.1542520800223482,0.0,0.5946828138530709,0.001939360980663,0.1811757636775723,0.0,0.0199451934401198,0.0521226996226118,2.0,0.0,1.0,True,False,
TRIOBP,ENSG00000100106,2,25,4,4,4,4,4,0.3307060730103929,up,0.1277892034222305,0.0,0.8537810249118127,3.114537960868801e-09,0.2360079690792149,0.0001952770539153,0.1052460946283133,0.0031705931195513,2.0,0.0,0.0,True,False,
CR1,ENSG00000203710,1,26,4,4,4,4,4,0.1735594373485387,up,0.1333871292114218,0.0,0.4824105010484434,0.0072890893439669,-0.0489334404468762,0.0094707251598473,0.1273735595811658,4.921555200265715e-06,3.0,0.0,0.0,True,False,
CTSH,ENSG00000103811,1,26,3,2,3,3,4,0.2385604925616232,up,0.1566056417624614,0.0,0.39651068675645,0.0108154408981371,0.3265731801984017,5.3424390100698105e-06,0.0745524615291799,0.0780022012036174,1.0,0.0,1.0,True,False,
GRN,ENSG00000030582,1,26,3,3,3,3,4,0.1155480269529085,up,0.0783133806515861,0.0,-0.0756445381578938,0.5858446345052473,0.1790242469495071,1.2878258459636527e-09,0.2804990183684346,2.2441826672547904e-06,2.0,0.0,1.0,True,False,
TSPAN14,ENSG00000108219,1,26,2,2,2,2,4,0.1060264134896986,up,0.1021970907900308,0.0,0.1475827436096013,0.2865781117530757,0.1377230402285922,1.8130196615118168e-06,0.0366027793305701,0.0859531936679438,1.0,0.0,2.0,True,False,
LAIR1,ENSG00000167613,2,26,2,2,2,2,4,0.0320165406208252,up,0.2230152542939059,0.0,-0.1479726960833431,0.4546007865737338,-0.0117613067199666,0.2945817675462727,0.0647849109927047,0.0070857231720022,2.0,0.0,0.0,True,False,
PRDX6,ENSG00000117592,2,26,3,3,3,3,4,0.3428511767219094,up,0.1815309028302157,0.0,0.9006489252344334,7.73970709744276e-09,0.2828036971956678,4.867613965631179e-05,0.0064211816273207,0.8334709072847497,2.0,0.0,1.0,False,False,
PYGL,ENSG00000100504,2,26,2,2,2,2,4,0.1210177693479341,up,0.325664341099924,0.0,0.0059139097964822,0.9718236960877022,0.1889524922302756,0.0047012774745665,-0.0364596657349451,0.6013918922095485,3.0,0.0,0.0,True,False,
