gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
FABP5,50,1.145752,0.000000,0.000000,3.652403e-04,up,1.0000
FABP7,48,-2.312084,0.000000,0.000000,6.647466e-03,down,1.0000
FADD,50,0.320011,0.000000,0.000000,2.513885e-02,up,1.0000
FADS2,50,-1.823391,0.000000,0.000000,2.254382e-02,down,1.0000
FADS3,50,-0.510415,0.000000,0.000000,1.573248e-01,down,1.0000
FAF1,0,0,0,0,1.0,none,0.0
FAHD1,50,0.490932,0.000000,0.000000,4.460673e-02,up,1.0000
FAHD2A,50,-0.410286,0.000000,0.000000,7.023946e-02,down,1.0000
FAIM,50,0.410792,0.000000,0.000000,8.039329e-05,up,1.0000
FAM107A,50,-0.624770,0.000000,0.000000,1.027460e-01,down,1.0000
FAM107B,50,-0.327339,0.000000,0.000000,2.000619e-03,down,1.0000
FAM110C,50,1.374165,0.000000,0.000000,2.805437e-04,up,1.0000
FAM111B,50,1.046141,0.000000,0.000000,2.138279e-01,up,1.0000
FAM114A1,50,-0.373323,0.000000,0.000000,1.363303e-03,down,1.0000
FAM117A,50,-0.985732,0.000000,0.000000,3.554893e-02,down,1.0000
FAM120AOS,50,-0.242635,0.000000,0.000000,3.301661e-03,down,1.0000
FAM124A,50,-0.422893,0.000000,0.000000,1.976937e-01,down,1.0000
FAM124B,50,-0.277321,0.000000,0.000000,1.439581e-01,down,1.0000
FAM13A,50,-0.913971,0.000000,0.000000,1.795108e-02,down,1.0000
FAM13C,50,-0.571310,0.000000,0.000000,6.563340e-05,down,1.0000
FAM149A,49,-0.981318,0.000000,0.000000,4.307201e-02,down,1.0000
FAM149B1,50,-0.234635,0.000000,0.000000,1.248383e-04,down,1.0000
FAM161B,49,-0.342164,0.000000,0.000000,9.028522e-03,down,1.0000
FAM162A,50,0.029769,0.000000,0.000000,9.580523e-01,up,1.0000
FAM162B,50,-0.441932,0.000000,0.000000,1.632446e-03,down,1.0000
FAM168A,50,-0.417485,0.000000,0.000000,1.192224e-05,down,1.0000
FAM168B,48,-0.042076,0.000000,0.000000,8.232620e-01,down,1.0000
FAM169A,50,0.345957,0.000000,0.000000,1.345109e-01,up,1.0000
FAM171A1,50,-0.554258,0.000000,0.000000,1.135934e-02,down,1.0000
FAM171B,50,-0.961903,0.000000,0.000000,3.628866e-03,down,1.0000
FAM174B,50,-0.751548,0.000000,0.000000,5.284657e-02,down,1.0000
FAM174C,50,0.637698,0.000000,0.000000,6.141335e-02,up,1.0000
FAM184A,49,-0.132060,0.000000,0.000000,6.666825e-08,down,1.0000
FAM185A,50,-1.162994,0.000000,0.000000,1.070449e-01,down,1.0000
FAM193B,48,-0.172197,0.000000,0.000000,2.155891e-06,down,1.0000
FAM199X,50,-0.321222,0.000000,0.000000,1.611786e-04,down,1.0000
FAM20B,50,-0.221981,0.000000,0.000000,1.724761e-15,down,1.0000
FAM219B,50,-0.223669,0.000000,0.000000,2.691617e-20,down,1.0000
FAM221A,50,-0.713548,0.000000,0.000000,9.264863e-03,down,1.0000
FAM222B,50,-0.259310,0.000000,0.000000,3.330526e-03,down,1.0000
FAM228B,50,-0.714856,0.000000,0.000000,9.509043e-03,down,1.0000
FAM229B,50,-0.342258,0.000000,0.000000,6.878310e-02,down,1.0000
FAM234B,49,-0.888730,0.000000,0.000000,5.192161e-02,down,1.0000
FAM3B,50,-0.856503,0.000000,0.000000,2.945968e-02,down,1.0000
FAM3C,50,-0.257665,0.000000,0.000000,1.986592e-05,down,1.0000
FAM3D,50,0.628832,0.000000,0.000000,8.412308e-04,up,1.0000
FAM43A,50,1.526349,0.000000,0.000000,2.106867e-01,up,1.0000
FAM53A,49,0.227652,0.000000,0.000000,8.240143e-02,up,1.0000
FAM76B,50,-0.358219,0.000000,0.000000,5.418264e-15,down,1.0000
FAM98A,50,0.429267,0.000000,0.000000,3.486929e-02,up,1.0000
FAN1,50,-0.044515,0.000000,0.000000,7.627894e-01,down,1.0000
FANCA,50,0.869000,0.000000,0.000000,2.488019e-01,up,1.0000
FANCD2,50,0.373537,0.000000,0.000000,3.984837e-01,up,1.0000
FANCF,50,-0.115483,0.000000,0.000000,3.338832e-05,down,1.0000
FANCI,50,0.638274,0.000000,0.000000,1.069678e-01,up,1.0000
FANCM,50,0.080318,0.000000,0.000000,7.927577e-01,up,1.0000
FAR2,50,-2.110958,0.000000,0.000000,3.613891e-05,down,1.0000
FARP1,50,-0.435544,0.000000,0.000000,1.341435e-04,down,1.0000
FARP2,50,0.370810,0.000000,0.000000,4.917231e-01,up,1.0000
FARSA,50,0.414739,0.000000,0.000000,3.203687e-02,up,1.0000
FASN,50,-0.743665,0.000000,0.000000,8.809432e-11,down,1.0000
FASTK,50,0.142189,0.000000,0.000000,1.187342e-01,up,1.0000
FASTKD1,50,0.608435,0.000000,0.000000,1.886194e-02,up,1.0000
FASTKD2,49,0.316460,0.000000,0.000000,4.529442e-01,up,1.0000
FASTKD5,47,0.751739,0.000000,0.000000,1.262974e-01,up,1.0000
FAT3,50,-0.788249,0.000000,0.000000,2.643282e-01,down,1.0000
FAT4,50,-0.620773,0.000000,0.000000,3.918997e-02,down,1.0000
FAXDC2,50,-0.521949,0.000000,0.000000,5.063149e-05,down,1.0000
FBLN2,48,-0.437108,0.000000,0.000000,8.222026e-03,down,1.0000
FBLN5,50,-0.909047,0.000000,0.000000,5.450318e-02,down,1.0000
FBLN7,50,-0.606256,0.000000,0.000000,4.837391e-02,down,1.0000
