cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
87,17,C17orf67|CNOT11|MYO1F|NALCN|NEXN|NTPCR|NTRK2|PDZRN4|PGLYRP2|PKP2|POSTN|RPP14|RRS1|SCRG1|THOC7|TMEM163|WDR18,1,2,1.6
88,4,CYB5R3|LMO4|MAGEH1|SFXN3,2,2,2.0
89,8,EPHB4|H2BC9|HRAS|PFKFB2|PPP1R3F|RPAP3|SLC37A4|UBE2G1,3,3,3.0
90,18,ABCB6|ADRM1|ANKRD18A|DCD|IER5|KATNB1|KCNN4|NR1H3|PRDM6|PRELP|RAB31|RBM28|SCARA5|SEL1L3|SLC25A51|TEAD4|TGM5|TNIP2,1,3,1.8
91,16,AGFG1|BNC1|EXT1|FNBP1|FRMPD1|LLPH|LYPD3|MED6|METAP2|PITRM1|RAB11A|RBM12|RRAGC|SIRT7|SMYD2|ZBTB11,1,2,1.7
92,10,DNAJC15|FUT6|GSPT1|IWS1|MRPL50|SLC25A46|TMEM135|UBAP2L|WDR26|ZNF326,2,2,2.0
93,16,CEP68|CTTNBP2|GLT1D1|ICOS|IRX1|KIF2C|LCK|LRRC20|LTBP4|PYCARD|RDH12|RGPD2|SMAGP|SPAG5|TIGD7|ZNF559,2,2,2.0
95,9,CBR1|CSTA|HOMER3|KIF18A|PINX1|SGPP2|SLX1A|TLE3|ZFP69B,3,3,3.0
96,22,DPAGT1|ERO1A|GNG7|GOLGA3|HS2ST1|LAMA5|LRP10|LYPLA2|MCAT|NDRG3|PKIG|PLK1|PSMB5|PSMD1|RPA3|RTL5|SLC25A38|SOX4|TMEM184A|TMEM208|TRIM4|WDFY2,1,3,2.0
97,15,AUTS2|IFT52|ITGB1|IVNS1ABP|KIDINS220|MCUB|MICU1|NFKBIZ|NFRKB|OARD1|TMEM154|TST|UBR2|UQCC4|VPS37B,2,2,2.0
98,10,CDC42EP4|DOCK6|GALNT11|GOLGA8N|GPBP1L1|PEX1|RNF130|SEMA5A|WNT2|ZSCAN21,2,2,2.0
99,38,ADAM10|AIFM2|ARHGEF37|AS3MT|CABP7|CAMP|CAPG|CBX4|CENPB|CHTOP|CLDN12|CUL2|EIF3B|EPPK1|ETS1|FUNDC1|GPR84|KLHL8|LTV1|MAP2K7|MLXIPL|NANOS1|NAP1L5|NFKBIE|OGG1|RNF139|SDC4|SGCB|SPATS2L|SYNE1|TFAP2B|THAP9|TMF1|TNFRSF1A|TTLL5|VKORC1L1|WDR7|ZNF14,2,2,2.0
100,22,ACSBG1|ANGPTL4|AQP9|BCAR3|CMTM4|CNRIP1|CRISPLD1|EPOP|IRF7|KIF26A|KRT19|MELK|OAS3|PRLR|RAB9B|RSPH1|SLAMF7|TCEA3|TIGAR|TLE1|TTK|TYMP,1,2,1.6
101,5,AGO1|DOK6|INPP5B|SEC23A|TRIM9,2,2,2.0
102,16,ABLIM3|DCUN1D5|DIS3|ELL2|FGD5|FGF2|FZD7|IDH3A|INIP|NOL12|NSFL1C|PIK3R1|RBMS3|SDC2|SYNPO2|VPS37A,2,2,2.0
103,9,DNMT1|DTX3L|FOXRED2|KIAA0513|MYO1E|RIMS3|RPS6KB2|SQOR|STX11,2,2,2.0
104,9,AHDC1|CFHR2|DEPTOR|DYNC2H1|FEZ2|METTL17|RBM12B|SLC25A29|TBC1D17,2,2,2.0
107,5,KBTBD8|MCM10|RUVBL1|SASH3|ZSCAN31,2,2,2.0
108,5,CALML3|EXO1|KCNK6|KIF11|RHBDL2,1,1,1.0
110,14,AFF3|AQP5|C5orf15|CD164|CTDSP2|EEF1A1|FREM2|GSTM5|MYH14|NRXN1|PCP4|RPL22|SGCG|ZDHHC11,1,2,1.4
112,5,BLNK|CARD14|CORO2A|HERC5|SIRPG,3,3,3.0
113,7,AP1AR|C2|H2BC6|MCRS1|SACK1C|SPHK1|THG1L,1,1,1.0
115,39,ADNP|AGFG2|ALDH1A3|BORA|C12orf54|CALML5|CCNE2|CORO1C|DSG2|ELP2|EVC2|FHL1|GINS3|GKAP1|GSN|HJURP|HSD11B2|IL20RB|LPIN1|NACA|NAP1L2|NOTCH3|PCDH7|PCYOX1L|PDLIM4|PHF19|PRPSAP1|SLAIN1|SLC22A15|SYNM|TAF11|TG|TMOD2|TPM2|UGT8|UHRF1|ZMYND11|ZNF287|ZNF791,2,2,2.0
118,1,ZNF567,2,2,2.0
119,22,AKAP10|CTBP1|ENKD1|ERVW-1|FAM149B1|FZD10|IMPACT|MBNL2|NEK1|NGRN|NPY5R|PHF21A|POGLUT3|POLDIP3|PPHLN1|RTF1|SLC8A3|ST6GALNAC5|SUMF2|TUG1|UFM1|ZMYM2,1,3,2.2
