gene,cluster_id,status,discovery_direction,n_same_tissue_concordant,n_same_tissue_discordant,n_cross_tissue_concordant,reason
HEY2,32,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
MANF,32,eliminated,up,0,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
NECAP2,32,survived,up,3,0,0,Same-tissue replication: 3/4 concordant. Cross-tissue: 0/0 concordant.
PLOD1,32,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
PTPN13,32,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
DTX2,33,survived,up,0,0,0,Same-tissue replication: 0/4 concordant. Cross-tissue: 0/0 concordant.
LPP,33,survived,up,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
MGST1,33,eliminated,up,2,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE18123']. Discovery direction: up.
NFKBIZ,33,eliminated,up,1,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE102741', 'GSE26415']. Discovery direction: up."
SOX2,33,survived,up,1,0,0,Same-tissue replication: 1/3 concordant. Cross-tissue: 0/0 concordant.
DNAJB1,34,eliminated,up,1,2,0,"Significant opposite direction in same-tissue dataset(s): ['GSE102741', 'GSE26415']. Discovery direction: up."
NBPF9,34,survived,up,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
S100A10,34,eliminated,up,3,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
S100A8,34,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE26415']. Discovery direction: up.
ABCA5,35,survived,down,1,0,0,Same-tissue replication: 1/4 concordant. Cross-tissue: 0/0 concordant.
GALNT17,35,survived,down,3,0,0,Same-tissue replication: 3/3 concordant. Cross-tissue: 0/0 concordant.
LIN7B,35,survived,down,2,0,0,Same-tissue replication: 2/4 concordant. Cross-tissue: 0/0 concordant.
