gene,cluster_id,status,discovery_direction,n_same_tissue_concordant,n_same_tissue_discordant,n_cross_tissue_concordant,reason
JAG1,133,survived,up,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
LRR1,133,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE5281']. Discovery direction: up.
MARVELD3,133,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
NEO1,133,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
PRPF39,133,survived,up,0,0,0,Same-tissue replication: 0/2 concordant. Cross-tissue: 0/0 concordant.
RAB23,133,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
SLC25A29,133,survived,up,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
STT3A,133,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
TBC1D9B,133,survived,up,0,0,0,Same-tissue replication: 0/1 concordant. Cross-tissue: 0/0 concordant.
ZNF384,133,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE5281']. Discovery direction: up.
ARGFX,134,insufficient_data,up,0,0,0,No replication data available for this gene.
CCL26,134,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
RAB32,134,eliminated,up,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE5281']. Discovery direction: up.
WDR64,134,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
ZBTB34,134,survived,up,0,0,0,Same-tissue replication: 0/1 concordant. Cross-tissue: 0/0 concordant.
CD8A,135,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
MCEE,135,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
MIPEP,135,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
MRPS17,135,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
SLC25A15,135,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
CACNG2,136,eliminated,down,1,1,0,Significant opposite direction in same-tissue dataset(s): ['GSE15222']. Discovery direction: down.
CARNMT1,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
EML1,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
GARIN1B,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
LARP4B,136,survived,down,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
POLR2B,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
PRKAG1,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
RBSN,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
RPS6KC1,136,survived,down,2,0,0,Same-tissue replication: 2/2 concordant. Cross-tissue: 0/0 concordant.
SLC12A8,136,survived,down,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
CHORDC1,137,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
KCTD11,137,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
PIM3,137,survived,up,0,0,0,Same-tissue replication: 0/1 concordant. Cross-tissue: 0/0 concordant.
SMAD9,137,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
TCTN1,137,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
VAV3,137,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
ECI2,138,survived,up,1,0,0,Same-tissue replication: 1/2 concordant. Cross-tissue: 0/0 concordant.
